Gene	Length	logFC	logCPM	F	PValue	FDR
AT1G21240	2422	8.05969277837345	4.03586479437927	995.381361482971	3.42612767696852e-18	5.55272512606288e-14
AT3G15536	495	5.81915158838135	2.28166546931095	866.318993774204	8.85663046110225e-18	7.17697049415421e-14
AT1G09932	1443	5.70750687731262	3.36001542119248	806.918252214141	1.75804161612155e-17	9.49752682416067e-14
AT4G36670	1911	3.41744902988545	5.94484244999078	686.486329742772	9.7869164263667e-17	3.96541386305313e-13
AT2G31865	2013	3.96604237085709	4.70787696057704	665.156382757744	1.41476568906867e-16	4.58582150454719e-13
AT2G32680	2846	4.89505444803751	4.78457505536138	676.182893521347	2.09373543859085e-16	5.65552837554033e-13
AT2G37110	1173	1.62697925558526	6.24553850316024	602.638866825111	2.9057554606349e-16	5.96102063787249e-13
AT5G10760	1968	6.05836666025556	7.13388912141417	705.092871546361	3.17531448596174e-16	5.96102063787249e-13
AT4G00700	3611	6.30082997691476	4.40526263739088	660.587406426677	3.47735649486696e-16	5.96102063787249e-13
AT1G71695	1480	-1.36468241862199	6.66995423144391	585.18180535637	3.84937794332574e-16	5.96102063787249e-13
AT3G13950	1206	6.45963352846695	2.5039700805954	582.1429878899	4.04585839554497e-16	5.96102063787249e-13
AT4G23150	2236	5.11008871069845	3.37930656308542	571.545575706861	4.96466989418208e-16	6.70520041458409e-13
AT1G65510	605	5.91424002618456	2.27246962516889	551.216140854818	6.81521092082559e-16	8.03424597026355e-13
AT3G25010	2880	3.97192556716336	4.30335566957072	562.304612483443	6.94017668807859e-16	8.03424597026355e-13
AT3G25020	3121	2.61808221194931	4.43766590464665	543.85101116653	7.74860065632603e-16	8.37210472247174e-13
AT1G33560	2929	3.13511929076429	3.61189555295677	533.176261171016	9.36107218900975e-16	8.9881064371345e-13
AT3G44400	4828	2.48376563126521	3.99295163150607	531.468828427126	9.65172734272751e-16	8.9881064371345e-13
AT4G39830	2186	4.82266846692111	3.48634953215219	535.826895997536	1.00239927182703e-15	8.9881064371345e-13
AT3G28510	1960	8.41357560353016	5.05771445724807	643.001025951038	1.05370532674496e-15	8.9881064371345e-13
AT4G36220	1992	1.76035033270764	7.68442938435141	518.951693827061	1.2112488009031e-15	9.81535465811825e-13
AT2G18690	1974	6.00390990071264	5.45700709100569	610.126952095413	1.33201772010543e-15	1.02800053284518e-12
AT1G66880	5006	2.97583434739487	6.53573744841897	515.849165082222	1.56877562074516e-15	1.15568847660985e-12
AT1G08450	1642	2.9889290896294	7.31045031135907	504.486233021414	1.90031998344821e-15	1.33906460746718e-12
AT5G25250	1713	4.46738703983431	5.62315255184272	546.650216247257	2.18555528159256e-15	1.47588726869878e-12
AT2G38860	2127	3.025976895946	5.62159275758855	492.501824713382	2.6507485782781e-15	1.62880384058171e-12
AT3G52430	2255	2.43888507132338	5.77795378008233	476.782742334446	2.71185497515051e-15	1.62880384058171e-12
AT5G02290	1885	1.71189220890518	5.92762364026689	476.752282744678	2.71350056739102e-15	1.62880384058171e-12
AT5G24210	1865	4.5950647822515	6.52422085690472	540.576974703141	2.91041407477992e-15	1.68461003249851e-12
AT1G76970	2476	2.16111089217391	4.20316736685378	464.514623289353	3.47304324164227e-15	1.94095213163091e-12
AT5G46050	2186	5.44733259905679	4.14464801431919	502.350378178496	4.20325491190523e-15	2.21832542675882e-12
AT3G50480	1109	3.37798042306031	7.77441472555554	478.669012024934	4.33901892206363e-15	2.21832542675882e-12
AT3G26230	1852	2.85909295601588	4.75810997297368	456.394525264418	4.37998480016549e-15	2.21832542675882e-12
AT3G01290	1663	4.5611584791887	7.15377666613823	512.473825479681	4.76449797039502e-15	2.30031748989708e-12
AT5G67340	2902	3.15477402501678	3.87768136054663	448.672383749932	4.825741633646e-15	2.30031748989708e-12
AT1G10340	2042	5.6117351301691	5.54440479225193	532.563104466442	5.06925160822171e-15	2.30235181890315e-12
AT1G72930	1127	3.09573214874495	7.20193354218691	464.209542257269	5.18343238501004e-15	2.30235181890315e-12
AT2G35980	1048	8.32053396381922	2.11775905515073	444.642980477833	5.25618666621933e-15	2.30235181890315e-12
AT3G50770	926	6.53706279810122	3.79668525257557	489.535034446442	5.52322586505982e-15	2.35565583144801e-12
AT5G25440	1554	3.11451630512662	5.3659273554087	457.154602086169	5.90937659382438e-15	2.45572478092594e-12
AT4G23140	2598	3.9762914016345	4.59862099006403	462.989345876407	6.92346300090593e-15	2.80521412139206e-12
AT2G26560	1644	4.07610802590501	4.02518873984871	439.665604568816	8.64450075108584e-15	3.41603239234244e-12
AT3G48090	2551	2.69151461356775	5.78870316462748	429.218399979237	8.85255509831447e-15	3.41603239234244e-12
AT3G25510	4489	4.01632648320304	2.49936946278551	410.31717920437	1.1233684611696e-14	4.23405410469201e-12
AT4G04610	1935	-3.28911074081919	4.0258553163299	408.663649981546	1.16700048788079e-14	4.29854020615545e-12
AT2G17290	2645	1.74126106228027	5.25554563566335	405.079900607124	1.26811508210865e-14	4.46939370661415e-12
AT1G11310	2709	1.34870751480308	6.34211968070422	405.065547562783	1.26853896775622e-14	4.46939370661415e-12
AT1G66960	3162	5.98298349935437	2.67282561483314	407.751080435526	1.32207016951544e-14	4.48087989822563e-12
AT1G80460	2128	2.09567679195955	6.36933235446586	403.131993971711	1.32709468201907e-14	4.48087989822563e-12
AT5G54710	2142	3.36268905330781	5.01213648595834	421.148586893696	1.55490854711308e-14	5.0979222357533e-12
AT5G42250	1651	1.83864954497795	4.80366338057725	395.933685688066	1.57275320409493e-14	5.0979222357533e-12
AT1G06650	1481	1.23015931347668	5.45047893858098	393.568041074237	1.66410351705698e-14	5.28825994136128e-12
AT2G17720	1426	1.57203791190736	4.66751058614463	389.225560740309	1.84738857275133e-14	5.7578128074194e-12
AT1G03400	1469	1.67006036408706	5.40818268192357	385.225005388251	2.03606967534809e-14	6.13577762528392e-12
AT1G51620	1483	6.06442665086915	1.91721314636678	384.846003663971	2.05501725501228e-14	6.13577762528392e-12
AT1G51800	3036	5.90746627905758	4.00760600814295	432.018755596114	2.09469945467346e-14	6.13577762528392e-12
AT5G10380	1179	3.71266935407698	6.33337656252456	426.485580905454	2.12009345971432e-14	6.13577762528392e-12
AT5G44670	2106	-1.32704376522807	4.98697483408041	381.971203800146	2.2052255959951e-14	6.27019144461272e-12
AT1G73805	2397	4.3789756979877	5.16559215496875	431.084695249544	2.32886893315285e-14	6.50630536671012e-12
AT5G61210	1743	1.69262284498417	6.65003918980079	379.080377196311	2.36855689909235e-14	6.50630536671012e-12
AT3G56710	1431	3.18772626827956	5.13104355004861	400.208290688376	2.43063801212751e-14	6.56555837709175e-12
AT3G51950	3157	-1.11752747473794	7.94852273385699	377.333573031777	2.47368217478686e-14	6.57228967324108e-12
AT1G51850	2955	5.91371679892908	2.42042338910379	374.993292645084	2.65065188611827e-14	6.9288895352127e-12
AT2G14080	4056	1.24697322966872	6.4532345038871	373.910359866915	2.69492351725295e-14	6.93279768954263e-12
AT1G16670	1929	1.46183857113502	4.01370939202428	368.51063390309	3.08953860895242e-14	7.80919669068531e-12
AT3G47480	1080	5.16948592973449	4.22514714802514	413.126997275363	3.13196634105353e-14	7.80919669068531e-12
AT2G34590	1674	-1.2518737315722	8.13027633897837	366.583112615069	3.24548200408796e-14	7.96962527882631e-12
AT2G03510	1462	1.19732419747355	5.26360957756756	363.236463408233	3.53724539314545e-14	8.4887518046827e-12
AT3G15095	2461	-1.12675804374719	7.14410177198773	362.970520606872	3.56164078927885e-14	8.4887518046827e-12
AT1G69720	1346	3.24633029711338	3.34823637530052	360.265027643192	3.82063152175951e-14	8.97205357797725e-12
AT1G66465	1302	4.74018956615122	2.72464226201898	360.121581652075	3.87513883172954e-14	8.97205357797725e-12
AT1G04280	2510	1.77028251480664	4.46317296799903	357.623798488794	4.09361249407138e-14	9.34439122414293e-12
AT3G16950	2329	-1.14276467300604	6.71068271337108	355.633238949799	4.31354263811056e-14	9.70966465775802e-12
AT3G61280	2079	3.03270528466876	5.4281645727453	376.87604316103	4.45787618621403e-14	9.89709580136586e-12
AT4G23470	1858	1.5501397597208	6.82543880483522	353.357049267823	4.58111540244885e-14	1.0033261801012e-11
AT2G29110	3001	6.95992812336328	2.53820264063721	358.010574310264	5.30994077084751e-14	1.14744280097501e-11
AT2G44380	1196	6.60257176019854	3.29114912501972	379.104307313069	5.44576582508561e-14	1.16130956219951e-11
AT4G23230	1884	3.06746660215806	3.58494179160185	346.142491331436	5.55756005896339e-14	1.1697581282548e-11
AT4G25070	2673	5.99957185715265	3.6080441910161	379.693602283757	5.95681582292143e-14	1.23515319843691e-11
AT5G52920	2221	-1.32378594508893	8.56063218928922	343.194976344189	6.02067641614832e-14	1.23515319843691e-11
AT1G13210	4194	2.12953552735756	6.45993699697345	342.089394689354	6.23187061760279e-14	1.26249908874361e-11
AT2G26440	2104	3.66179254394995	4.7587876945326	370.617314955722	6.8120524426478e-14	1.36299918441966e-11
AT1G59870	4930	1.87991812064431	9.68224863878002	337.196867157689	7.10012420953023e-14	1.40213435900209e-11
AT1G13340	1590	4.11631278901768	4.38135429459689	369.43754163598	7.18067204277002e-14	1.40213435900209e-11
AT3G11820	1659	2.03261217736883	5.9653395293595	335.771325832533	7.3869501358057e-14	1.41121409108007e-11
AT1G24145	1026	4.06143314073502	4.53614449147516	369.704446721866	7.40132027776923e-14	1.41121409108007e-11
AT1G79380	1820	1.35135324748502	6.37316303917235	335.103311688353	7.52572943758676e-14	1.41661388016636e-11
AT5G08240	1521	4.36909827038272	3.25672471534974	344.925760005841	7.60445533253984e-14	1.41661388016636e-11
AT1G24150	2794	2.65975157419241	4.30761715978048	334.148027962368	7.82586622662146e-14	1.4412933401688e-11
AT3G47780	3281	3.21788995951962	2.78085215481923	330.00106324779	8.68555329426782e-14	1.57788930549178e-11
AT1G70530	2871	2.45277852932415	5.53428087268134	337.403032060909	8.82371498142758e-14	1.57788930549178e-11
AT1G65250	1633	2.35035139897576	2.72310717701571	329.300524440973	8.85962403898017e-14	1.57788930549178e-11
AT4G27740	654	1.97128779991429	4.14737815106288	328.677838598388	9.01757884723848e-14	1.58856413453472e-11
AT1G01680	1187	5.60891888989594	2.06259233586854	326.087638501466	9.70873608961064e-14	1.69026136120427e-11
AT5G38250	2099	5.72109190431252	1.14835493135347	325.748561627485	9.80345331975082e-14	1.69026136120427e-11
AT5G37740	1155	2.38094737270461	3.02190634200703	325.127543291356	9.97957767582473e-14	1.7025159514957e-11
AT5G61330	2551	-1.33247306003027	6.08533437964859	322.600147574747	1.07331865962072e-13	1.80651500982018e-11
AT2G30250	1776	2.42887443696068	5.51340787243814	329.945188318941	1.08121155027184e-13	1.80651500982018e-11
AT3G13330	5907	1.39636039308433	6.5201648629823	321.164374335837	1.11890690539264e-13	1.85042083833658e-11
AT1G08050	2490	3.90918401430138	3.54767970147361	331.807781639668	1.1671810056904e-13	1.91075783426508e-11
AT1G61190	4894	0.948927394507248	6.87507733180876	319.052848052318	1.18987364497457e-13	1.9198851274159e-11
