	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
1	GO:0016042	lipid catabolic process	http://amigo.geneontology.org/amigo/term/GO:0016042	263	18	3.51050066056216	5.1274737538769	1.78251692295461e-08	4.38499163046835e-05	819682;820291;820884;824476;824760;825341;826695;827632;828207;828786;828999;831961;834606;837135;837166;840274;841840;842122	AT3G16370;AT3G53100;AT1G06550;AT1G56670;AT1G54020;AT4G01130;AT3G11210;AT3G05180;AT1G06250;AT4G28780;AT5G18430;AT3G55940;AT4G18970;AT4G10955;AT5G45670;AT1G33811;AT3G61680;AT4G26790
2	GO:0007167	enzyme linked receptor protein signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007167	177	14	2.36258029246959	5.92572453288598	1.1977275338193e-07	9.82136577731829e-05	816176;816405;822282;823680;824506;826631;826933;832381;833757;842483;842964;844064;844189;844403	AT1G80640;AT5G23170;AT1G77280;AT5G37790;AT3G26700;AT3G53380;AT1G61860;AT2G16750;AT2G18890;AT3G45420;AT4G13190;AT1G66460;AT4G10390;AT1G78530
3	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007178	177	14	2.36258029246959	5.92572453288598	1.1977275338193e-07	9.82136577731829e-05	816176;816405;822282;823680;824506;826631;826933;832381;833757;842483;842964;844064;844189;844403	AT1G80640;AT5G23170;AT1G77280;AT5G37790;AT3G26700;AT3G53380;AT1G61860;AT2G16750;AT2G18890;AT3G45420;AT4G13190;AT1G66460;AT4G10390;AT1G78530
4	GO:0007166	cell surface receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007166	253	16	3.37702154799326	4.7379028450404	3.28659222170735e-07	0.000202125421635002	816176;816405;822282;823680;824506;824551;826631;826933;832381;833757;838522;842483;842964;844064;844189;844403	AT1G80640;AT5G23170;AT1G77280;AT5G37790;AT3G26700;AT3G53380;AT1G61860;AT2G16750;AT2G18890;AT3G45420;AT4G13190;AT1G66460;AT4G10390;AT1G19390;AT3G53840;AT1G78530
5	GO:0046777	protein autophosphorylation	http://amigo.geneontology.org/amigo/term/GO:0046777	207	12	2.7630176301763	4.3430776079537	2.36467781442595e-05	0.0106782489988522	814649;814807;817121;818781;824804;829775;830066;831677;832405;836256;843209;6240885	AT3G56370;AT4G36180;AT2G41820;AT2G02780;AT1G68780;AT5G61350;AT5G01890;AT1G73066;AT2G25790;AT2G01210;AT4G39110;AT5G23400
6	GO:0006855	drug transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0006855	116	9	1.54835770579928	5.81261033305873	2.6044509753298e-05	0.0106782489988522	817999;828280;828378;829995;834428;837711;838084;843518;843705	AT1G15180;AT4G38380;AT4G21910;AT4G22790;AT1G71870;AT2G34360;AT5G44050;AT1G73700;AT1G11670
7	GO:0015893	drug transport	http://amigo.geneontology.org/amigo/term/GO:0015893	140	9	1.86870757596465	4.81616284739152	0.00011328080531281	0.035869809661313	817999;828280;828378;829995;834428;837711;838084;843518;843705	AT1G15180;AT4G38380;AT4G21910;AT4G22790;AT1G71870;AT2G34360;AT5G44050;AT1G73700;AT1G11670
8	GO:0015849	organic acid transport	http://amigo.geneontology.org/amigo/term/GO:0015849	145	9	1.9354471322491	4.65008826644698	0.000147980776080914	0.035869809661313	818704;820089;824648;825341;831376;834703;839139;841177;843190	AT1G68600;AT2G41050;AT3G54830;AT1G47670;AT5G15240;AT3G09330;AT5G46600;AT1G25530;AT3G61680
9	GO:0046942	carboxylic acid transport	http://amigo.geneontology.org/amigo/term/GO:0046942	145	9	1.9354471322491	4.65008826644698	0.000147980776080914	0.035869809661313	818704;820089;824648;825341;831376;834703;839139;841177;843190	AT1G68600;AT2G41050;AT3G54830;AT1G47670;AT5G15240;AT3G09330;AT5G46600;AT1G25530;AT3G61680
10	GO:0009451	RNA modification	http://amigo.geneontology.org/amigo/term/GO:0009451	372	15	4.96542298756321	3.02089067488715	0.000156266289297102	0.035869809661313	814680;818272;818893;819698;820744;824800;825526;827480;828375;828916;841449;843490;843585;6240220;6241165	AT2G42920;AT1G50270;AT4G28020;AT1G72530;AT3G05340;AT4G17610;AT3G56330;AT3G63510;AT1G71490;AT4G22760;AT2G36980;AT4G19191;AT3G15130;AT2G01510;AT3G61113
11	GO:0032259	methylation	http://amigo.geneontology.org/amigo/term/GO:0032259	459	17	6.12669126691267	2.77474402730375	0.00016039345783514	0.035869809661313	818921;820182;821753;824292;824800;824824;827480;828916;829668;830927;839082;840213;841094;841758;843286;843287;843694	AT1G73600;AT2G43200;AT4G28020;AT1G53250;AT1G69523;AT1G45248;AT1G69526;AT4G17610;AT3G21950;AT3G56330;AT3G51290;AT1G33170;AT3G10200;AT4G35160;AT1G24735;AT3G56570;AT5G10620
12	GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	257	12	3.43041319302082	3.49812087488878	0.000187692530292605	0.038476968709984	817967;820111;823067;825703;829452;832093;832209;834948;836439;836585;840141;843498	AT1G71695;AT3G09540;AT1G32470;AT5G64640;AT5G48900;AT5G63180;AT3G32980;AT4G33150;AT5G19730;AT2G34060;AT4G03930;AT5G20860
