	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
1	GO:0006979	response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0006979	454	33	6.5149651496515	5.06526117054751	2.22044604925031e-14	5.46229728115577e-11	818289;818708;819032;820163;820264;822488;824566;826718;827415;827831;829479;829795;829907;829908;832172;832845;833954;834464;836025;836531;836533;837252;837662;837894;838483;838710;838752;839622;841650;843537;844177;5008166;28720712	AT1G27330;AT1G13340;AT5G20500;AT1G52200;AT2G41090;AT3G10020;AT5G27830;AT5G64120;AT4G37530;AT5G59080;AT4G17070;AT3G53990;AT1G78410;AT4G37520;AT1G21520;AT4G11170;AT4G20830;AT2G44240;AT3G28580;AT2G37130;AT4G33420;AT5G39580;AT5G05300;AT1G21140;AT5G64100;AT1G19020;AT1G72060;AT1G07400;AT3G10930;AT5G44380;AT4G26288;AT4G36430;AT1G11210
2	GO:0002239	response to oomycetes	http://amigo.geneontology.org/amigo/term/GO:0002239	96	13	1.37761377613776	9.43660714285714	1.18697851547722e-09	1.45998357403698e-06	818506;820035;820901;821934;823671;823679;824548;825837;826642;828131;829026;829753;836150	AT2G39210;AT5G60280;AT4G04960;AT4G01700;AT3G45410;AT3G45330;AT4G10500;AT3G08870;AT3G53810;AT4G29050;AT4G35985;AT3G16530;AT3G23550
3	GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	257	16	3.6879868798688	4.33841022790439	1.05925045501554e-06	0.00086858537311274	817184;818289;818964;819130;819368;823908;826642;828131;829479;829795;829907;829908;833954;836531;836533;837724	AT2G26440;AT5G64120;AT4G37530;AT4G01700;AT1G02360;AT4G37520;AT2G43620;AT4G10500;AT2G37130;AT3G47540;AT4G33420;AT5G39580;AT2G45220;AT5G64100;AT2G47550;AT4G36430
4	GO:0002229	defense response to oomycetes	http://amigo.geneontology.org/amigo/term/GO:0002229	77	9	1.1049610496105	8.14508348794063	1.57829549785049e-06	0.000938301901181937	820035;821934;823671;823679;824548;825837;826642;829026;836150	AT5G60280;AT4G04960;AT3G45410;AT3G45330;AT4G10500;AT3G08870;AT3G53810;AT4G29050;AT3G23550
5	GO:0046777	protein autophosphorylation	http://amigo.geneontology.org/amigo/term/GO:0046777	207	14	2.97047970479705	4.71304347826087	1.90711768532914e-06	0.000938301901181937	818521;818989;820053;820713;823679;826456;832662;833891;836150;838236;839850;840475;842064;843777	AT1G16670;AT1G74360;AT1G35710;AT4G08850;AT2G39360;AT3G14840;AT5G38990;AT5G25930;AT2G43850;AT5G60280;AT1G56120;AT3G45410;AT1G29720;AT3G09010
6	GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	385	19	5.52480524805248	3.43903525046382	3.40956964683947e-06	0.00139792355520418	818989;819907;820141;820713;820768;826809;830943;831863;833523;835358;835639;838043;838336;842430;842436;2746202;7922469;10723040;28720712	AT5G10760;AT1G17600;AT1G61360;AT3G14840;AT2G43850;AT5G48657;AT5G52810;AT2G15042;AT1G14780;AT5G55460;AT4G12010;AT3G09830;AT4G22305;AT5G35580;AT3G07195;AT5G03350;AT1G61420;AT5G05300;AT3G15356
7	GO:0007166	cell surface receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007166	253	15	3.63058630586306	4.13156408808583	4.1972695727921e-06	0.00147504044986694	820035;821005;823671;823679;824548;824933;825837;829026;834250;834649;836150;838195;838720;842832;843068	AT1G65250;AT3G17410;AT5G42440;AT5G60280;AT4G04960;AT3G45410;AT1G16260;AT3G45330;AT5G46080;AT1G21245;AT3G08870;AT3G57640;AT3G53810;AT4G29050;AT1G67470
8	GO:0031347	regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031347	263	15	3.77408774087741	3.97447039652363	6.71174674127251e-06	0.0020638621229413	819907;820141;820713;827084;827913;827916;830142;830401;835358;838336;839544;2746202;7922469;10723040;28720712	AT1G17600;AT4G39830;AT3G14840;AT4G03450;AT5G48657;AT5G52810;AT2G15042;AT4G14390;AT3G09830;AT5G05190;AT4G22305;AT3G07195;AT1G02660;AT4G03460;AT5G05300
9	GO:0045087	innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045087	377	18	5.410004100041	3.3271693823418	9.70530462862662e-06	0.00259375083098388	818989;819907;820141;820713;820768;826809;830943;831863;835358;835639;838043;838336;842430;842436;2746202;7922469;10723040;28720712	AT5G10760;AT1G17600;AT1G61360;AT3G14840;AT2G43850;AT5G48657;AT5G52810;AT2G15042;AT1G14780;AT5G55460;AT4G12010;AT3G09830;AT4G22305;AT3G07195;AT5G03350;AT1G61420;AT5G05300;AT3G15356
10	GO:0002376	immune system process	http://amigo.geneontology.org/amigo/term/GO:0002376	417	19	5.9840098400984	3.17512846865365	1.06513690444343e-05	0.00259375083098388	818989;819907;820141;820713;820768;826809;830943;831863;833523;835358;835639;838043;838336;842430;842436;2746202;7922469;10723040;28720712	AT5G10760;AT1G17600;AT1G61360;AT3G14840;AT2G43850;AT5G48657;AT5G52810;AT2G15042;AT1G14780;AT5G55460;AT4G12010;AT3G09830;AT4G22305;AT5G35580;AT3G07195;AT5G03350;AT1G61420;AT5G05300;AT3G15356
