	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
1	GO:0006979	response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0006979	454	20	4.5708168192793	4.3755855442821	3.87532750334429e-08	9.53330565822696e-05	818289;819032;820163;822488;826718;827831;829479;829907;829908;832845;833954;836533;837894;838483;838752;839622;841650;843537;844177;28720712	AT1G13340;AT1G27330;AT1G52200;AT5G27830;AT3G10020;AT5G64120;AT1G78410;AT4G11170;AT1G21520;AT2G44240;AT4G37530;AT4G37520;AT4G33420;AT5G39580;AT3G28580;AT4G20830;AT2G37130;AT5G05300;AT1G72060;AT1G19020
2	GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	257	14	2.58744476333652	5.41074352518619	3.70685428019435e-07	0.000455943076463905	817184;818289;818961;818964;819130;823908;826642;828131;829479;829907;829908;833954;836533;837724	AT2G26440;AT5G64120;AT4G10500;AT4G01700;AT2G43620;AT4G37530;AT3G47540;AT4G37520;AT4G33420;AT1G02360;AT5G39580;AT2G43590;AT2G37130;AT2G45220
3	GO:0006026	aminoglycan catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006026	23	5	0.231561204500934	21.5925634467834	2.8694718059441e-06	0.0010084143775175	818961;818964;823908;828131;837724	AT4G01700;AT2G43620;AT3G47540;AT1G02360;AT2G43590
4	GO:0006030	chitin metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006030	23	5	0.231561204500934	21.5925634467834	2.8694718059441e-06	0.0010084143775175	818961;818964;823908;828131;837724	AT4G01700;AT2G43620;AT3G47540;AT1G02360;AT2G43590
5	GO:0006032	chitin catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006032	23	5	0.231561204500934	21.5925634467834	2.8694718059441e-06	0.0010084143775175	818961;818964;823908;828131;837724	AT4G01700;AT2G43620;AT3G47540;AT1G02360;AT2G43590
6	GO:0046348	amino sugar catabolic process	http://amigo.geneontology.org/amigo/term/GO:0046348	23	5	0.231561204500934	21.5925634467834	2.8694718059441e-06	0.0010084143775175	818961;818964;823908;828131;837724	AT4G01700;AT2G43620;AT3G47540;AT1G02360;AT2G43590
7	GO:1901072	glucosamine-containing compound catabolic process	http://amigo.geneontology.org/amigo/term/GO:1901072	23	5	0.231561204500934	21.5925634467834	2.8694718059441e-06	0.0010084143775175	818961;818964;823908;828131;837724	AT4G01700;AT2G43620;AT3G47540;AT1G02360;AT2G43590
8	GO:0016998	cell wall macromolecule catabolic process	http://amigo.geneontology.org/amigo/term/GO:0016998	24	5	0.241629082957496	20.6928733031674	3.59497477786519e-06	0.00110545474419355	818961;818964;823908;828131;837724	AT4G01700;AT2G43620;AT3G47540;AT1G02360;AT2G43590
9	GO:0002239	response to oomycetes	http://amigo.geneontology.org/amigo/term/GO:0002239	96	8	0.966516331829985	8.27714932126697	5.76516717287756e-06	0.00157581236058653	818506;823671;823679;825837;826642;828131;830011;836150	AT5G60280;AT3G45410;AT2G39210;AT4G10500;AT4G01700;AT3G45330;AT4G04960;AT4G38540
10	GO:0071456	cellular response to hypoxia	http://amigo.geneontology.org/amigo/term/GO:0071456	27	5	0.271832718327183	18.393665158371	6.66214623579187e-06	0.0016388879740048	827694;839180;839183;841797;842139	AT4G19520;AT1G57630;AT1G53620;AT1G26410;AT1G26380
