	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
1	GO:0006979	response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0006979	454	23	3.51601293790716	6.54150038870174	1.03272945750632e-12	2.54051446546555e-09	818289;820163;820264;822488;826718;827831;829479;829795;829907;829908;833954;836025;836533;837252;837662;837894;838483;838710;841650;843218;843537;844177;28720712	AT5G59080;AT3G10020;AT5G64120;AT4G20830;AT4G33420;AT1G21140;AT1G52200;AT4G37530;AT1G13340;AT5G39580;AT1G19020;AT4G37520;AT3G28580;AT2G37130;AT5G05300;AT1G78410;AT4G36430;AT1G11210;AT1G72060;AT1G68850;AT1G07400;AT3G10930;AT4G11170
2	GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	257	15	1.99034212564348	7.53639276722362	1.63161795185829e-09	2.00689008078569e-06	817184;818289;818964;819130;819368;822361;826642;829479;829795;829907;829908;832209;833954;836533;843218	AT2G43620;AT5G64120;AT4G33420;AT2G26440;AT4G37530;AT3G27400;AT4G10500;AT5G39580;AT4G37520;AT2G37130;AT2G47550;AT4G36430;AT2G45220;AT5G20860;AT1G68850
3	GO:0017001	antibiotic catabolic process	http://amigo.geneontology.org/amigo/term/GO:0017001	102	9	0.789941232745661	11.3932525951557	1.00179486484109e-07	8.21471789169692e-05	818289;826642;829479;829795;829907;829908;833954;836533;843218	AT5G64120;AT4G33420;AT4G37530;AT4G10500;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
4	GO:0042743	hydrogen peroxide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042743	115	9	0.890620017311284	10.1053196930946	2.82262716755355e-07	0.000173591570804543	818289;827834;829479;829795;829907;829908;833954;836533;843218	AT5G64120;AT4G33420;AT4G20860;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
5	GO:0042744	hydrogen peroxide catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042744	95	8	0.735729579518017	10.873560371517	7.52264196490771e-07	0.000370113984673459	818289;829479;829795;829907;829908;833954;836533;843218	AT5G64120;AT4G33420;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
6	GO:0016999	antibiotic metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016999	223	11	1.72702838139492	6.36932207860723	1.3956132471904e-06	0.000572201431348063	818289;826642;827834;829227;829479;829795;829907;829908;833954;836533;843218	AT4G31000;AT5G64120;AT4G33420;AT4G20860;AT4G37530;AT4G10500;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
7	GO:0031347	regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031347	263	11	2.03680925698146	5.40060389174681	6.82666954299194e-06	0.00232146562077262	816273;819907;827084;827913;830142;830401;831983;835358;839544;2746202;28720712	AT5G18650;AT5G48657;AT1G02660;AT4G39830;AT4G03450;AT5G05190;AT3G07195;AT5G52810;AT4G14390;AT5G05300;AT2G17660
8	GO:0051187	cofactor catabolic process	http://amigo.geneontology.org/amigo/term/GO:0051187	129	8	0.999043323766571	8.00766073871409	7.5494816935695e-06	0.00232146562077262	818289;829479;829795;829907;829908;833954;836533;843218	AT5G64120;AT4G33420;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
9	GO:0072593	reactive oxygen species metabolic process	http://amigo.geneontology.org/amigo/term/GO:0072593	181	9	1.40175846202906	6.42050698732532	1.21917726316756e-05	0.00333241785265799	818289;827834;829479;829795;829907;829908;833954;836533;843218	AT5G64120;AT4G33420;AT4G20860;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
10	GO:0097237	cellular response to toxic substance	http://amigo.geneontology.org/amigo/term/GO:0097237	186	9	1.44048107147738	6.24791271347249	1.51589120918061e-05	0.0037290923745843	818289;829479;829795;829907;829908;830443;833954;836533;843218	AT5G64120;AT4G33420;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT5G05600;AT1G68850
