	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
1	GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	257	12	1.13566580110246	10.5664888282723	1.51591739161461e-09	3.72915678337193e-06	817184;818289;819130;819368;822361;826642;829795;829908;836531;836533;837724;843218	AT1G02360;AT5G64120;AT2G26440;AT3G27400;AT4G37530;AT2G47550;AT4G36430;AT2G45220;AT2G37130;AT5G64100;AT4G10500;AT1G68850
2	GO:0017001	antibiotic catabolic process	http://amigo.geneontology.org/amigo/term/GO:0017001	102	7	0.450731173978406	15.5303214069133	3.46445977128518e-07	0.000426128551868077	818289;826642;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT4G10500;AT1G68850
3	GO:0042743	hydrogen peroxide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042743	115	7	0.508177303995262	13.7747198565666	7.84499212480583e-07	0.000643289354234078	818289;827834;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT4G20860;AT1G68850
4	GO:0042744	hydrogen peroxide catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042744	95	6	0.419798642430869	14.2925664677157	4.03090025624664e-06	0.00247900365759168	818289;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT1G68850
5	GO:0071456	cellular response to hypoxia	http://amigo.geneontology.org/amigo/term/GO:0071456	27	4	0.119311193111931	33.5257731958763	5.81557731083038e-06	0.00272843036475123	839180;839183;841797;842139	AT1G57630;AT1G26380;AT1G26410;AT1G53620
6	GO:0016999	antibiotic metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016999	223	8	0.985422076442987	8.11834866626601	6.65470820671032e-06	0.00272843036475123	818289;826642;827834;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT4G20860;AT4G10500;AT1G68850
7	GO:0036294	cellular response to decreased oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0036294	30	4	0.13256799234659	30.1731958762887	8.98943625815551e-06	0.00276425164938282	839180;839183;841797;842139	AT1G57630;AT1G26380;AT1G26410;AT1G53620
8	GO:0071453	cellular response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0071453	30	4	0.13256799234659	30.1731958762887	8.98943625815551e-06	0.00276425164938282	839180;839183;841797;842139	AT1G57630;AT1G26380;AT1G26410;AT1G53620
9	GO:0072593	reactive oxygen species metabolic process	http://amigo.geneontology.org/amigo/term/GO:0072593	181	7	0.799826887157761	8.75189383152019	1.58686555769005e-05	0.00433743252435281	818289;827834;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT4G20860;AT1G68850
10	GO:0051187	cofactor catabolic process	http://amigo.geneontology.org/amigo/term/GO:0051187	129	6	0.570042367090338	10.525533445217	2.33848582840146e-05	0.00575267513786759	818289;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT1G68850
11	GO:0098869	cellular oxidant detoxification	http://amigo.geneontology.org/amigo/term/GO:0098869	173	6	0.764475422532003	7.84851915857219	0.000120002181879464	0.0268368515839528	818289;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT1G68850
12	GO:1990748	cellular detoxification	http://amigo.geneontology.org/amigo/term/GO:1990748	176	6	0.777732221766662	7.71473758200562	0.000131836656824813	0.0270265146490867	818289;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT1G68850
13	GO:0001666	response to hypoxia	http://amigo.geneontology.org/amigo/term/GO:0001666	60	4	0.26513598469318	15.0865979381443	0.000144526010489754	0.0273487681388303	839180;839183;841797;842139	AT1G57630;AT1G26380;AT1G26410;AT1G53620
14	GO:0097237	cellular response to toxic substance	http://amigo.geneontology.org/amigo/term/GO:0097237	186	6	0.821921552548859	7.29996674426339	0.000178120398640513	0.0300209126040505	818289;829795;829908;836531;836533;843218	AT5G64120;AT4G37530;AT4G36430;AT2G37130;AT5G64100;AT1G68850
15	GO:0006979	response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0006979	454	9	2.00619561751173	4.48610291112221	0.000183054345146649	0.0300209126040505	818289;818708;822488;829795;829908;836531;836533;838710;843218	AT2G41090;AT5G64120;AT4G37530;AT3G28580;AT4G36430;AT2G37130;AT5G64100;AT1G68850;AT1G21140
16	GO:0036293	response to decreased oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0036293	67	4	0.296068516240718	13.5103862132636	0.000221867821679766	0.0339973232405947	839180;839183;841797;842139	AT1G57630;AT1G26380;AT1G26410;AT1G53620
17	GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	68	4	0.300487449318938	13.3117040630685	0.000234940851662646	0.0339973232405947	839180;839183;841797;842139	AT1G57630;AT1G26380;AT1G26410;AT1G53620
