	lipid catabolic process	enzyme linked receptor protein signaling pathway	transmembrane receptor protein serine/threonine kinase signaling pathway	cell surface receptor signaling pathway	protein autophosphorylation	drug transmembrane transport	drug transport	organic acid transport	carboxylic acid transport	RNA modification	methylation	drug catabolic process
AT1G71695	0	0	0	0	0	0	0	0	0	0	0	0
AT3G15095	0	0	0	0	0	0	0	0	0	0	0	0
AT3G51950	0	0	0	0	0	0	0	0	0	0	0	0
AT2G34590	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44670	0	0	0	0	0	0	0	0	0	0	0	0
AT5G52920	0	0	0	0	0	0	0	0	0	0	0	0
AT3G16950	0	0	0	0	0	0	0	0	0	0	0	0
AT4G31290	0	0	0	0	0	0	0	0	0	0	0	0
AT5G61330	0	0	0	0	0	0	0	0	0	0	0	0
AT1G62310	0	0	0	0	0	0	0	0	0	0	0	0
AT3G12120	0	0	0	0	0	0	0	0	0	0	0	0
AT3G57300	0	0	0	0	0	0	0	0	0	0	0	0
AT4G04610	0	0	0	0	0	0	0	0	0	0	0	0
AT3G49670	0	0	0	0	0	0	0	0	0	0	0	0
AT4G21960	0	0	0	0	0	0	0	0	0	0	0	0
AT5G26570	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62700	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39850	0	0	0	0	0	0	0	0	0	0	0	0
AT1G35516	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35360	0	0	0	0	0	0	0	0	0	0	0	0
AT2G25620	0	0	0	0	0	0	0	0	0	0	0	0
AT1G34210	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78020	0	0	0	0	0	0	0	0	0	0	0	0
AT2G34170	0	0	0	0	0	0	0	0	0	0	0	0
AT4G30710	0	0	0	0	0	0	0	0	0	0	0	0
AT4G39800	0	0	0	0	0	0	0	0	0	0	0	0
AT5G49100	0	0	0	0	0	0	0	0	0	0	0	0
AT5G16000	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12750	0	0	0	0	0	0	0	0	0	0	0	0
AT3G57170	0	0	0	0	0	0	0	0	0	0	0	0
AT4G10030	0	0	0	0	0	0	0	0	0	0	0	0
AT5G62670	0	0	0	0	0	0	0	0	0	0	0	0
AT3G25560	0	0	0	0	0	0	0	0	0	0	0	0
AT2G22170	0	0	0	0	0	0	0	0	0	0	0	0
AT1G55360	0	0	0	0	0	0	0	0	0	0	0	0
AT3G14210	0	0	0	0	0	0	0	0	0	0	0	0
AT1G79440	0	0	0	0	0	0	0	0	0	0	0	0
AT5G01790	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02110	0	0	0	0	0	0	0	0	0	0	0	0
AT2G45970	0	0	0	0	0	0	0	0	0	0	0	0
AT2G46710	0	0	0	0	0	0	0	0	0	0	0	0
AT5G67280	0	0	0	0	0	0	0	0	0	0	0	0
AT5G11420	0	0	0	0	0	0	0	0	0	0	0	0
AT5G21100	0	0	0	0	0	0	0	0	0	0	0	0
AT3G15950	0	0	0	0	0	0	0	0	0	0	0	0
AT3G61550	0	0	0	0	0	0	0	0	0	0	0	0
AT3G14810	0	0	0	0	0	0	0	0	0	0	0	0
AT4G18570	0	0	0	0	0	0	0	0	0	0	0	0
AT1G74090	0	0	0	0	0	0	0	0	0	0	0	0
AT4G13570	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05020	0	0	0	0	0	0	0	0	0	0	0	0
AT5G54770	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75710	0	0	0	0	0	0	0	0	0	0	0	0
AT1G55260	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62750	0	0	0	0	0	0	0	0	0	0	0	0
AT2G46530	0	0	0	0	0	0	0	0	0	0	0	0
AT4G17730	0	0	0	0	0	0	0	0	0	0	0	0
AT5G03190	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44660	0	0	0	0	0	0	0	0	0	0	0	0
AT2G22980	0	0	0	0	0	0	0	0	0	0	0	0
AT1G74880	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05220	0	0	0	0	0	0	0	0	0	0	0	0
AT2G28150	0	0	0	0	0	0	0	0	0	0	0	0
AT5G67260	0	0	0	0	0	0	0	0	0	0	0	0
AT5G18460	0	0	0	0	0	0	0	0	0	0	0	0
AT1G48600	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46690	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35130	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23080	0	0	0	0	0	0	0	0	0	0	0	0
AT1G25425	0	0	0	0	0	0	0	0	0	0	0	0
AT1G14840	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23670	0	0	0	0	0	0	0	0	0	0	0	0
AT5G61420	0	0	0	0	0	0	0	0	0	0	0	0
AT2G24530	0	0	0	0	0	0	0	0	0	0	0	0
AT1G50280	0	0	0	0	0	0	0	0	0	0	0	0
AT5G65700	0	0	0	0	0	0	0	0	0	0	0	0
AT3G47675	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05800	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09140	0	0	0	0	0	0	0	0	0	0	0	0
AT2G17300	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15180	0	0	0	0	0	0	0	0	0	0	0	0
AT5G50170	0	0	0	0	0	0	0	0	0	0	0	0
AT5G65310	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00900	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73600	0	0	0	0	0	0	0	0	0	0	0	0
AT2G43920	0	0	0	0	0	0	0	0	0	0	0	0
AT3G63450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26920	0	0	0	0	0	0	0	0	0	0	0	0
AT2G17650	0	0	0	0	0	0	0	0	0	0	0	0
AT1G18360	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46240	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25980	0	0	0	0	0	0	0	0	0	0	0	0
AT1G67590	0	0	0	0	0	0	0	0	0	0	0	0
AT5G18860	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42170	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20070	0	0	0	0	0	0	0	0	0	0	0	0
AT4G38770	0	0	0	0	0	0	0	0	0	0	0	0
AT3G19820	0	0	0	0	0	0	0	0	0	0	0	0
AT1G54200	0	0	0	0	0	0	0	0	0	0	0	0
AT5G23750	0	0	0	0	0	0	0	0	0	0	0	0
AT5G53420	0	0	0	0	0	0	0	0	0	0	0	0
AT1G63420	0	0	0	0	0	0	0	0	0	0	0	0
AT1G80640	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09540	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71990	0	0	0	0	0	0	0	0	0	0	0	0
AT5G66460	0	0	0	0	0	0	0	0	0	0	0	0
AT1G45010	0	0	0	0	0	0	0	0	0	0	0	0
AT1G48780	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39250	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21750	0	0	0	0	0	0	0	0	0	0	0	0
AT4G15450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01300	0	0	0	0	0	0	0	0	0	0	0	0
AT4G29720	0	0	0	0	0	0	0	0	0	0	0	0
AT3G25700	0	0	0	0	0	0	0	0	0	0	0	0
AT5G23170	0	0	0	0	0	0	0	0	0	0	0	0
AT4G16680	0	0	0	0	0	0	0	0	0	0	0	0
AT3G51480	0	0	0	0	0	0	0	0	0	0	0	0
AT3G02370	0	0	0	0	0	0	0	0	0	0	0	0
AT3G27250	0	0	0	0	0	0	0	0	0	0	0	0
AT1G32240	0	0	0	0	0	0	0	0	0	0	0	0
AT1G63240	0	0	0	0	0	0	0	0	0	0	0	0
AT2G44940	0	0	0	0	0	0	0	0	0	0	0	0
AT5G56040	0	0	0	0	0	0	0	0	0	0	0	0
AT4G01120	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41330	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09310	0	0	0	0	0	0	0	0	0	0	0	0
AT5G13240	0	0	0	0	0	0	0	0	0	0	0	0
AT4G02430	0	0	0	0	0	0	0	0	0	0	0	0
AT4G18670	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77280	0	0	0	0	0	0	0	0	0	0	0	0
AT4G12880	0	0	0	0	0	0	0	0	0	0	0	0
AT5G03830	0	0	0	0	0	0	0	0	0	0	0	0
AT5G61480	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30530	0	0	0	0	0	0	0	0	0	0	0	0
AT1G80300	0	0	0	0	0	0	0	0	0	0	0	0
AT3G11490	0	0	0	0	0	0	0	0	0	0	0	0
AT3G50660	0	0	0	0	0	0	0	0	0	0	0	0
AT3G19100	0	0	0	0	0	0	0	0	0	0	0	0
AT3G25570	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40475	0	0	0	0	0	0	0	0	0	0	0	0
AT5G62220	0	0	0	0	0	0	0	0	0	0	0	0
AT4G14040	0	0	0	0	0	0	0	0	0	0	0	0
AT3G06130	0	0	0	0	0	0	0	0	0	0	0	0
AT1G61970	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00180	0	0	0	0	0	0	0	0	0	0	0	0
AT5G16720	0	0	0	0	0	0	0	0	0	0	0	0
AT3G49260	0	0	0	0	0	0	0	0	0	0	0	0
AT3G03450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G79460	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23600	0	0	0	0	0	0	0	0	0	0	0	0
AT1G70550	0	0	0	0	0	0	0	0	0	0	0	0
AT3G04140	0	0	0	0	0	0	0	0	0	0	0	0
AT1G05010	0	0	0	0	0	0	0	0	0	0	0	0
AT1G18650	0	0	0	0	0	0	0	0	0	0	0	0
AT4G17680	0	0	0	0	0	0	0	0	0	0	0	0
AT2G45470	0	0	0	0	0	0	0	0	0	0	0	0
AT3G04160	0	0	0	0	0	0	0	0	0	0	0	0
AT1G64780	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21250	0	0	0	0	0	0	0	0	0	0	0	0
AT4G34650	0	0	0	0	0	0	0	0	0	0	0	0
AT5G11550	0	0	0	0	0	0	0	0	0	0	0	0
AT4G13840	0	0	0	0	0	0	0	0	0	0	0	0
AT3G56370	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05880	0	0	0	0	0	0	0	0	0	0	0	0
AT1G27030	0	0	0	0	0	0	0	0	0	0	0	0
AT5G48360	0	0	0	0	0	0	0	0	0	0	0	0
AT4G09500	0	0	0	0	0	0	0	0	0	0	0	0
AT1G76490	0	0	0	0	0	0	0	0	0	0	0	0
AT4G13990	0	0	0	0	0	0	0	0	0	0	0	0
AT4G30650	0	0	0	0	0	0	0	0	0	0	0	0
AT1G45201	0	0	0	0	0	0	0	0	0	0	0	0
AT3G16370	0	0	0	0	0	0	0	0	0	0	0	0
AT5G50370	0	0	0	0	0	0	0	0	0	0	0	0
AT5G02190	0	0	0	0	0	0	0	0	0	0	0	0
AT2G22230	0	0	0	0	0	0	0	0	0	0	0	0
AT4G21650	0	0	0	0	0	0	0	0	0	0	0	0
AT3G20810	0	0	0	0	0	0	0	0	0	0	0	0
AT5G62100	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23750	0	0	0	0	0	0	0	0	0	0	0	0
AT2G38400	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21560	0	0	0	0	0	0	0	0	0	0	0	0
AT2G43200	0	0	0	0	0	0	0	0	0	0	0	0
AT1G66350	0	0	0	0	0	0	0	0	0	0	0	0
AT1G65010	0	0	0	0	0	0	0	0	0	0	0	0
AT5G13750	0	0	0	0	0	0	0	0	0	0	0	0
AT5G62430	0	0	0	0	0	0	0	0	0	0	0	0
AT5G60890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78170	0	0	0	0	0	0	0	0	0	0	0	0
AT4G30660	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23490	0	0	0	0	0	0	0	0	0	0	0	0
AT2G31790	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26230	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42920	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05030	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78680	0	0	0	0	0	0	0	0	0	0	0	0
AT1G66100	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G32470	0	0	0	0	0	0	0	0	0	0	0	0
AT2G30540	0	0	0	0	0	0	0	0	0	0	0	0
AT5G67200	0	0	0	0	0	0	0	0	0	0	0	0
AT4G33625	0	0	0	0	0	0	0	0	0	0	0	0
AT5G22460	0	0	0	0	0	0	0	0	0	0	0	0
AT3G15620	0	0	0	0	0	0	0	0	0	0	0	0
AT5G41620	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42980	0	0	0	0	0	0	0	0	0	0	0	0
AT5G64640	0	0	0	0	0	0	0	0	0	0	0	0
AT3G57040	0	0	0	0	0	0	0	0	0	0	0	0
AT4G30020	0	0	0	0	0	0	0	0	0	0	0	0
AT4G36240	0	0	0	0	0	0	0	0	0	0	0	0
AT1G59840	0	0	0	0	0	0	0	0	0	0	0	0
AT3G45443	0	0	0	0	0	0	0	0	0	0	0	0
AT4G27595	0	0	0	0	0	0	0	0	0	0	0	0
AT5G02670	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78370	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39180	0	0	0	0	0	0	0	0	0	0	0	0
AT5G37790	0	0	0	0	0	0	0	0	0	0	0	0
AT1G55810	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00400	0	0	0	0	0	0	0	0	0	0	0	0
AT2G24220	0	0	0	0	0	0	0	0	0	0	0	0
AT4G21550	0	0	0	0	0	0	0	0	0	0	0	0
AT4G36180	0	0	0	0	0	0	0	0	0	0	0	0
AT1G68600	0	0	0	0	0	0	0	0	0	0	0	0
AT4G34220	0	0	0	0	0	0	0	0	0	0	0	0
AT5G64620	0	0	0	0	0	0	0	0	0	0	0	0
AT1G62290	0	0	0	0	0	0	0	0	0	0	0	0
AT2G34490	0	0	0	0	0	0	0	0	0	0	0	0
