	lipid catabolic process
AT3G16950	0
AT1G15410	0
AT1G19350	0
AT2G22170	0
AT5G35360	0
AT1G09310	0
AT5G62670	0
AT4G10030	0
AT1G12750	0
AT3G62750	0
AT4G39800	0
AT4G21960	0
AT4G00360	0
AT3G15950	0
AT5G13400	0
AT3G28130	0
AT4G00400	0
AT1G29670	0
AT4G13570	0
AT3G14210	0
AT3G16370	0
AT1G23080	0
AT3G49670	0
AT1G55260	0
AT4G38770	0
AT3G05020	0
AT4G18670	0
AT4G31290	0
AT1G45010	0
AT4G04610	0
AT2G18630	0
AT4G26540	0
AT3G09540	0
AT1G25425	0
AT2G28470	0
AT2G32690	0
AT5G11790	0
AT4G24510	0
AT1G65010	0
AT1G60790	0
AT1G67590	0
AT5G23750	0
AT1G21560	0
AT2G22230	0
AT3G05030	0
AT1G49660	0
AT5G65730	0
AT3G02250	0
AT1G50280	0
AT5G03190	0
AT5G62220	0
AT1G12090	0
AT5G01790	0
AT2G16750	0
AT2G21540	0
AT3G05640	0
AT4G36240	0
AT4G15550	0
AT2G29550	0
AT3G54720	0
AT4G34220	0
AT3G51480	0
AT4G35320	0
AT5G16000	0
AT5G09870	0
AT5G59050	0
AT5G12050	0
AT5G48460	0
AT5G08600	0
AT1G04040	0
AT1G52827	0
AT4G12880	0
AT3G25670	0
AT5G44530	0
AT1G04160	0
AT4G23600	0
AT1G19340	0
AT2G35860	0
AT2G39180	0
AT4G30020	0
AT3G19820	0
AT5G46690	0
AT2G34300	0
AT5G18860	0
AT1G49580	0
AT1G73600	0
AT5G27360	0
AT3G13520	0
AT5G44040	0
AT5G13460	0
AT3G60290	0
AT5G10160	0
AT3G63200	0
AT2G37585	0
AT5G06710	0
AT5G02540	0
AT1G18360	0
AT3G23450	0
AT1G75680	0
AT3G26960	0
AT1G79460	0
AT3G55240	0
AT4G10770	0
AT2G10940	0
AT4G26760	0
AT2G45470	0
AT1G04360	0
AT4G25830	0
AT4G33625	0
AT2G42170	0
AT1G49430	0
AT2G14520	0
AT4G34650	0
AT2G18890	0
AT5G65390	0
AT1G66100	0
AT5G10250	0
AT4G21880	0
AT1G66430	0
AT1G49490	0
AT5G61350	0
AT2G33570	0
AT2G43200	0
AT4G30710	0
AT2G37025	0
AT5G18290	0
AT3G15720	0
AT5G60890	0
AT1G77590	0
AT2G47930	0
AT5G55480	0
AT3G55500	0
AT4G12980	0
AT1G02180	0
AT5G47440	0
AT1G62290	0
AT1G30820	0
AT5G11590	0
AT3G52670	0
AT1G29660	0
AT4G17240	0
AT5G03760	0
AT3G52370	0
AT2G17300	0
AT4G08685	0
AT5G19740	0
AT3G62390	0
AT5G25590	0
AT1G02205	0
AT5G45720	0
AT3G06035	0
AT1G68600	0
AT4G23490	0
AT1G56720	0
AT5G62920	0
AT2G02780	0
AT5G51540	0
AT1G18400	0
AT1G13250	0
AT4G12730	0
AT5G05860	0
AT3G06145	0
AT1G30840	0
AT4G34900	0
AT3G25700	0
AT4G32280	0
AT5G24105	0
AT4G04630	0
AT4G20870	0
AT1G35180	0
AT5G48360	0
AT4G18280	0
AT1G75450	0
AT4G27490	0
AT5G53750	0
AT2G21830	0
AT1G68780	0
AT1G14700	0
AT4G30660	0
AT1G15830	0
AT3G14450	0
AT3G05800	0
AT1G01130	0
AT3G54830	0
AT4G21990	0
AT5G13700	0
AT3G05890	0
AT5G07180	0
AT1G11960	0
AT4G27595	0
AT5G50950	0
AT1G69526	0
AT1G68870	0
AT1G58270	0
AT5G07000	0
AT5G41070	0
AT2G42570	0
AT2G21210	0
AT1G63230	0
AT5G25610	0
AT2G37790	0
AT3G13000	0
AT1G12460	0
AT5G45830	0
AT4G28050	0
AT3G63450	0
AT1G09440	0
AT2G01760	0
AT5G05890	0
AT2G29300	0
AT1G45201	0
AT3G44990	0
AT1G18870	0
AT5G61290	0
AT5G18030	0
AT5G43840	0
AT1G19050	0
AT4G25780	0
AT5G07690	0
AT1G25450	0
AT3G20470	0
AT4G13990	0
AT4G13770	0
AT3G45940	0
AT2G04570	0
AT3G17640	0
AT5G03670	0
AT3G28170	0
AT1G27030	0
AT4G17360	0
AT1G28400	0
AT5G52320	0
AT4G28190	0
AT2G34490	0
AT4G31590	0
AT5G62580	0
AT2G35700	0
AT1G64390	0
AT5G41900	0
AT5G57890	0
AT5G58480	0
AT4G28780	0
AT2G29290	0
AT2G16270	0
AT5G67070	0
AT5G59020	0
AT3G25760	0
AT2G19170	0
AT4G11450	0
AT1G27120	0
AT2G30540	0
AT2G46780	0
AT1G27940	0
AT1G28130	0
AT2G34060	0
AT4G06534	0
AT1G01250	0
AT2G37900	0
AT3G16690	0
AT1G75250	0
AT5G01075	0
AT4G24670	0
AT1G01900	0
AT5G20860	0
AT1G04770	0
AT4G01335	0
AT2G39560	0
AT2G19780	0
AT1G69523	0
AT1G54040	0
AT3G22275	0
AT5G02190	0
AT4G15140	0
AT4G25434	0
AT1G33480	0
AT3G27400	0
AT3G07320	0
AT1G04050	0
AT5G25810	0
AT4G23690	0
AT3G04960	0
AT3G54020	0
AT2G19930	0
AT4G26530	0
AT4G37800	0
AT5G08000	0
AT5G04160	0
AT5G22460	0
AT5G05330	0
AT1G26100	0
AT5G52310	0
AT2G23560	0
AT2G29310	0
AT2G34180	0
AT1G64780	0
AT1G68862	0
AT1G52400	0
AT1G19970	0
AT4G23020	0
AT5G42650	0
AT3G61898	0
AT1G15210	0
AT1G77580	0
AT3G02410	0
AT2G39880	0
AT3G11210	0
AT1G53070	0
AT4G30680	0
AT5G49390	0
AT3G22410	0
AT2G34930	0
AT1G79410	0
AT3G14360	0
AT5G46600	0
AT5G59130	0
AT3G56330	0
AT1G11670	0
AT3G09660	0
AT3G13600	0
AT2G38530	0
AT1G45110	0
AT4G30800	0
AT3G16420	0
AT1G53345	0
AT4G29140	0
AT3G58810	0
AT1G78750	0
AT4G36570	0
AT5G38610	0
AT5G17490	0
AT5G44550	0
AT5G47240	0
AT4G12900	0
AT4G30450	0
AT1G11580	0
AT1G05540	0
AT5G62360	0
AT1G19940	0
AT3G03840	0
AT5G63350	0
AT4G21065	0
AT5G18060	0
