	oligopeptide transmembrane transport	oligopeptide transport
AT5G44670	0	0
AT3G16950	0	0
AT4G39800	0	0
AT5G67385	0	0
AT2G34590	0	0
AT5G52920	0	0
AT2G22170	0	0
AT3G49670	0	0
AT1G15410	0	0
AT3G14210	0	0
AT4G10030	0	0
AT5G61330	0	0
AT1G34430	0	0
AT5G35360	0	0
AT3G61550	0	0
AT5G62670	0	0
AT3G15950	0	0
AT1G09310	0	0
AT2G25620	0	0
AT4G18570	0	0
AT3G25860	0	0
AT5G21100	0	0
AT3G06145	0	0
AT1G67590	0	0
AT5G44130	0	0
AT2G45180	0	0
AT1G45010	0	0
AT3G62750	0	0
AT5G01790	0	0
AT5G54770	0	0
AT1G25425	0	0
AT1G01120	0	0
AT5G11420	0	0
AT3G27060	0	0
AT3G55580	0	0
AT3G63120	0	0
AT3G18050	0	0
AT1G12750	0	0
AT4G35320	0	0
AT3G16240	0	0
AT5G62220	0	0
AT1G55360	0	0
AT1G26920	0	0
AT1G68560	0	0
AT5G20270	0	0
AT1G23080	0	0
AT2G45970	0	0
AT3G56060	0	0
AT3G28130	0	0
AT5G16000	0	0
AT5G08130	0	0
AT1G78020	0	0
AT3G09540	0	0
AT5G13400	0	0
AT4G23400	0	0
AT1G65010	0	0
AT4G18670	0	0
AT5G11790	0	0
AT3G16370	0	0
AT3G04140	0	0
AT5G40380	0	0
AT1G12090	0	0
AT5G41620	0	0
AT1G80130	0	0
AT4G00360	0	0
AT3G25560	0	0
AT4G26540	0	0
AT4G27430	0	0
AT4G38770	0	0
AT5G23750	0	0
AT1G73600	0	0
AT5G44190	0	0
AT4G04610	0	0
AT3G56360	0	0
AT4G24780	0	0
AT1G14840	0	0
AT1G48600	0	0
AT1G04040	0	0
AT4G13570	0	0
AT2G21320	0	0
AT2G28470	0	0
AT1G12110	0	0
AT4G15550	0	0
AT4G30710	0	0
AT2G46530	0	0
AT2G32690	0	0
AT4G36240	0	0
AT4G24510	0	0
AT5G42110	0	0
AT5G62430	0	0
AT1G21560	0	0
AT2G22230	0	0
AT3G02250	0	0
AT3G05020	0	0
AT3G25700	0	0
AT1G76490	0	0
AT5G16570	0	0
AT3G05800	0	0
AT5G49100	0	0
AT1G55260	0	0
AT4G13840	0	0
AT5G65310	0	0
AT5G65730	0	0
AT5G61420	0	0
AT5G61350	0	0
AT5G03120	0	0
AT3G05030	0	0
AT4G00400	0	0
AT5G03190	0	0
AT5G08600	0	0
AT2G43200	0	0
AT1G19450	0	0
AT5G48460	0	0
AT3G02380	0	0
AT5G62100	0	0
AT1G49660	0	0
AT1G62290	0	0
AT3G10520	0	0
AT5G46690	0	0
AT5G45820	0	0
AT3G51480	0	0
