	drug transmembrane transport	drug transport
AT3G19100	0	0
AT3G25570	0	0
AT3G20810	0	0
AT1G21460	0	0
AT4G31290	0	0
AT5G60100	0	0
AT2G25930	0	0
AT4G04610	0	0
AT4G23670	0	0
AT1G28330	0	0
AT2G34170	0	0
AT5G25980	0	0
AT4G21650	0	0
AT1G78370	0	0
AT1G27030	0	0
AT3G17070	0	0
AT2G22730	0	0
AT1G30530	0	0
AT3G07650	0	0
AT3G27250	0	0
AT1G62560	0	0
AT2G38070	0	0
AT1G21440	0	0
AT1G59840	0	0
AT4G34860	0	0
AT4G36180	0	0
AT5G61380	0	0
AT1G80080	0	0
AT5G48850	0	0
AT5G23050	0	0
AT5G01200	0	0
AT1G62540	0	0
AT3G26460	0	0
AT4G11310	0	0
AT2G43800	0	0
AT1G54040	0	0
AT2G28410	0	0
AT3G58990	0	0
AT3G63450	0	0
AT2G18050	0	0
AT5G04530	0	0
AT4G38530	0	0
AT3G14360	0	0
AT5G15970	0	0
AT5G48250	0	0
AT4G11911	0	0
AT3G55110	0	0
AT2G27385	0	0
AT2G37300	0	0
AT5G18430	0	0
AT5G61740	0	0
AT3G61850	0	0
AT3G05180	0	0
AT2G43535	0	0
AT1G79840	0	0
AT5G15230	0	0
AT5G22460	0	0
AT5G26000	0	0
AT5G67480	0	0
AT2G13610	0	0
AT4G03205	0	0
AT3G55500	0	0
AT5G14200	0	0
AT4G22790	0	0
AT4G09500	0	0
AT5G55120	0	0
AT5G51750	0	0
AT2G02100	0	0
AT1G79910	0	0
AT3G25290	0	0
AT4G20930	0	0
AT2G36270	0	0
AT3G09910	0	0
AT2G15830	0	0
AT5G03170	0	0
AT1G71050	0	0
AT2G25790	0	0
AT3G07420	0	0
AT5G23010	0	0
AT5G40330	0	0
AT2G34490	0	0
AT5G13930	0	0
AT4G13770	0	0
AT1G28230	0	0
AT3G46640	0	0
AT2G45050	0	0
AT2G46650	0	0
AT4G21910	0	0
AT4G36930	0	0
AT5G27450	0	0
AT2G40460	0	0
AT5G50335	0	0
AT4G02280	0	0
AT1G54020	0	0
AT3G01960	0	0
AT1G29050	0	0
AT1G60590	0	0
AT5G66400	0	0
AT3G28007	0	0
AT5G23820	0	0
AT1G11850	0	0
AT1G77270	0	0
AT1G20490	0	0
AT1G06250	0	0
AT2G37100	0	0
AT1G04800	0	0
AT1G11450	0	0
AT2G02540	0	0
AT2G45890	0	0
AT5G59570	0	0
AT1G05470	0	0
AT1G70710	0	0
AT5G42690	0	0
AT4G33980	0	0
AT4G29020	0	0
AT2G42890	0	0
AT1G33811	0	0
AT3G56620	0	0
AT4G01110	0	0
AT1G23060	0	0
AT2G22200	0	0
AT5G24770	0	0
AT5G18930	0	0
AT3G17120	0	0
AT5G07460	0	0
AT4G23600	0	0
AT2G23010	0	0
AT1G60260	0	0
AT1G60270	0	0
AT4G23990	0	0
AT3G11600	0	0
AT4G29700	0	0
AT2G43100	0	0
AT3G16400	0	0
AT5G06330	0	0
AT4G15440	0	0
AT3G02020	0	0
AT2G32990	0	0
AT3G61840	0	0
AT5G49120	0	0
AT1G68862	0	0
AT5G65640	0	0
AT5G26220	0	0
AT4G12030	0	0
AT5G28490	0	0
AT5G17490	0	0
AT1G60960	0	0
AT3G19710	0	0
AT4G33150	0	0
AT5G04890	0	0
AT2G40435	0	0
AT1G72970	0	0
AT5G66440	0	0
AT5G27890	0	0
AT4G03010	0	0
AT5G10080	0	0
AT5G38130	0	0
AT3G05730	0	0
AT5G17700	0	0
AT5G65280	0	0
AT4G11320	0	0
AT4G30250	0	0
AT5G62960	0	0
AT1G16410	0	0
AT3G54600	0	0
AT3G16360	0	0
AT1G52400	0	0
AT2G38465	0	0
AT4G27560	0	0
AT5G54080	0	0
AT1G68050	0	0
AT2G43440	0	0
AT1G01380	0	0
AT4G11211	0	0
AT1G68230	0	0
AT3G13175	0	0
AT2G19090	0	0
AT1G19570	0	0
AT1G52410	0	0
AT1G76610	0	0
AT3G06880	0	0
AT3G61950	0	0
AT1G07985	0	0
AT1G65860	0	0
AT5G15720	0	0
AT5G24420	0	0
AT4G16140	0	0
AT1G52910	0	0
AT4G35730	0	0
AT1G06360	0	0
AT1G18590	0	0
AT5G13880	0	0
AT3G05660	0	0
AT1G80280	0	0
AT1G55740	0	0
AT3G55710	0	0
AT2G28790	0	0
AT1G66460	0	0
AT3G06778	0	0
AT4G25580	0	0
AT5G45530	0	0
AT2G18196	0	0
AT4G04450	0	0
AT1G70830	0	0
AT1G33930	0	0
AT5G43020	0	0
AT2G20875	0	0
AT4G20320	0	0
AT1G07050	0	0
AT1G78260	0	0
AT3G16410	0	0
AT3G50810	0	0
AT4G30180	0	0
AT3G14630	0	0
AT1G20160	0	0
AT3G55940	0	0
AT5G55730	0	0
AT5G46880	0	0
AT3G26330	0	0
AT1G52030	0	0
AT4G24140	0	0
AT2G43550	0	0
AT5G47500	0	0
AT5G07030	0	0
AT2G22330	0	0
AT3G28220	0	0
AT3G27860	0	0
AT5G50090	0	0
AT1G71870	0	0
AT1G64110	0	0
AT2G43590	0	1
AT1G45201	0	0
AT1G10640	0	0
AT2G47780	0	0
AT5G45670	0	0
AT5G59220	0	0
AT3G55290	0	0
AT1G06640	0	0
AT1G73010	0	0
AT3G56810	0	0
AT2G16850	0	0
AT2G23000	0	0
AT1G16400	0	0
AT3G12145	0	0
AT3G52770	0	0
AT5G15960	0	0
AT1G24070	0	0
AT2G39690	0	0
AT5G01480	0	0
AT2G33380	0	0
AT2G37900	0	0
AT3G45140	0	0
AT1G26450	0	0
AT4G12970	0	0
AT2G47770	0	0
AT3G13980	0	0
AT3G04184	0	0
AT2G29130	0	0
AT1G30600	0	0
AT2G46640	0	0
AT5G13140	0	0
AT1G52000	0	0
AT3G48580	0	0
AT5G18970	0	0
AT2G38750	0	0
AT1G33170	0	0
AT4G28040	0	0
AT5G56720	0	0
AT3G48510	0	0
AT5G16600	0	0
AT1G52040	0	0
AT1G73360	0	0
AT5G35670	0	0
AT3G28420	0	0
AT5G02440	0	0
AT2G21050	0	0
AT2G15090	0	0
AT3G53530	0	0
AT3G50960	0	0
AT1G04920	0	0
AT1G23340	0	0
AT5G26280	0	0
AT1G60810	0	0
AT2G38760	0	0
AT2G38995	0	0
AT3G44220	0	0
AT4G39940	0	0
AT5G07690	0	0
AT3G28170	0	0
AT3G60490	0	0
AT2G27140	0	0
AT4G34250	0	0
AT5G56490	0	0
AT4G17480	0	0
AT2G39330	0	0
AT5G38120	0	0
AT1G73066	0	0
AT5G57130	0	0
AT3G14780	0	0
AT2G44570	0	0
AT2G26695	0	0
AT5G45520	0	0
AT2G27990	0	0
AT1G65970	0	0
AT1G65620	0	0
AT4G00480	0	0
AT4G02850	0	0
AT1G62660	0	0
AT4G34710	0	0
AT3G21950	0	0
AT1G34580	0	0
AT5G41120	0	0
AT4G24010	0	0
AT4G17470	0	0
AT3G14760	0	0
AT3G17580	0	0
AT4G19850	0	0
AT3G22740	0	0
AT5G60490	0	0
AT5G65609	0	0
AT4G25990	0	0
AT3G16120	0	0
AT4G36230	0	0
AT1G14440	0	0
AT3G18960	0	0
AT1G68500	0	0
AT5G37180	0	0
AT3G02030	0	0
AT3G50280	0	0
AT2G30424	0	0
AT1G09460	0	0
AT3G02040	0	0
AT1G31710	0	0
AT5G50820	0	0
AT4G04840	0	0
AT2G40330	0	0
AT3G16490	0	0
AT2G40080	0	0
AT4G19380	0	0
AT1G08730	0	0
AT1G56650	0	0
AT3G16470	0	0
AT1G10990	0	0
AT1G13790	0	0
AT3G59710	0	0
AT4G03490	0	0
AT5G60880	0	0
AT4G08950	0	0
AT4G15210	0	0
AT3G22415	0	0
AT5G20970	0	0
AT2G17470	0	0
AT1G68470	0	0
AT4G39070	0	0
AT3G09260	0	0
AT1G65910	0	0
AT5G02890	0	0
AT3G49570	0	0
AT3G45290	0	0
AT5G67411	0	0
AT3G22400	0	0
AT4G10310	0	0
AT5G05270	0	0
AT1G16390	0	0
AT5G40210	0	0
AT2G01913	0	0
AT5G02940	0	0
AT5G53200	0	0
AT1G24020	0	0
AT3G48350	0	0
AT1G20530	0	0
AT4G02290	0	0
AT3G57010	0	0
AT5G20420	0	0
AT4G35970	0	0
AT2G36870	0	0
AT1G31690	0	0
AT1G17665	0	0
AT3G03910	0	0
