	drug catabolic process	antibiotic catabolic process	hydrogen peroxide metabolic process	hydrogen peroxide catabolic process	cellular response to hypoxia	antibiotic metabolic process	cellular response to decreased oxygen levels	cellular response to oxygen levels	reactive oxygen species metabolic process	cofactor catabolic process	cellular oxidant detoxification	cellular detoxification	response to hypoxia	cellular response to toxic substance	response to oxidative stress	response to decreased oxygen levels	response to oxygen levels
AT5G42250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G72930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G27060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G01290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G10760	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
AT5G24210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G56710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G61280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G06145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G20230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G56400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G31580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G16370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G13470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G13790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G08450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G26320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G25110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G29810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G24147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G24150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G10380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G49750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G09420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G54610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G10340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
