	AT3G55580	AT2G25620	AT2G21320	AT3G06145	AT5G15950	AT3G47420	AT5G14760	AT3G04140	AT3G47640	AT2G15020	AT3G17609	AT1G76240	AT3G03450	AT1G78170	AT3G48240	AT5G54130	AT1G01520	AT2G25780	AT3G09450	AT3G17790	AT2G44940	AT5G20150	AT4G12320	AT5G05250	AT1G11700	AT2G21560	AT1G26790	AT3G44450	AT3G48290	AT1G46264	AT1G04570	AT2G40130	AT2G30766	AT4G15248	AT1G62870	AT4G14380	AT3G21890	AT1G56430	AT2G36970	AT4G14390	AT3G21150	AT4G27360	AT5G20790	AT5G54470	AT3G11550	AT5G43860	AT3G02040	AT1G06980	AT5G16530
AT3G55580	0	4.17142658459968	1.78153996860594	3.76890510656013	2.08037391670131	3.32572290947646	3.22559613154181	3.12877071596667	4.08674767464341	3.05508003379995	2.9872818425184	3.62349842123776	3.8137337319603	3.45710340371595	3.21563756343506	3.25572104436255	2.49376466756715	4.21632559824738	2.39703573537909	4.19885357449592	3.72606181343941	3.95357656346417	3.57659586203521	3.91761840094107	4.05898371944853	3.95209565755055	2.15860369981148	3.29335371402132	3.71713187692689	4.22683361388255	3.58525312097298	3.44666296377791	3.42486694220828	2.57331263995485	4.05218087144385	4.29273486074099	2.90152915411712	3.57027317325128	3.7864483037353	4.33994111292705	3.36004783644955	2.58194965837332	3.58473479495047	1.55654370848351	4.28681561343659	3.21869564475365	4.18367916906396	3.45646320703601	3.85032636887149
AT2G25620	4.17142658459968	0	3.7637176761787	4.18666595575202	3.24004227559544	3.19058379597718	2.34044411484012	3.94400517933871	3.54357639297835	4.02818273511293	2.87470789348984	4.18531970965836	3.05541273714536	4.26620464066543	3.31276744348631	3.29608794089866	3.49226157170859	4.34232613827349	3.5423946520964	3.11329811295281	3.7079685224092	3.77560316723315	4.22099278080337	3.81636924882927	3.61012015273861	4.11244278101833	3.62584829898387	3.69264073462352	4.29157795419493	3.91246385455606	3.14188541716079	3.99013364879889	3.7558078015236	3.79875282036208	3.04938472873064	4.14532819775478	3.35120280365217	3.84334554294227	3.84292361490634	3.84420744421071	3.62080416684057	3.89785297561558	3.19320254165138	3.8032610926174	4.2584322971578	3.61508375393574	4.12856306766267	4.30683703649697	3.85475528896725
AT2G21320	1.78153996860594	3.7637176761787	0	2.98638203762434	1.11826472608948	2.44631965471813	2.19556758065973	1.84441504047382	3.76410810503546	1.53160663193272	1.8751770598147	3.96046173954852	3.04472002573854	3.58841738120192	2.37117873181629	1.86829168801786	0.903089986991944	4.2492800704679	1.29092455938275	3.48770668875299	3.28638460535565	3.5740660098966	3.11001026460702	3.53256202418127	2.69978571143735	3.5547810144128	1.67375793654958	1.90622726305236	3.4183858213317	4.08121008364146	2.54306179801462	3.00736792422032	2.59487851139464	1.63276088847944	3.73129698889755	4.11785438365998	0.783188691075258	2.82505593335492	2.93796900295145	4.1225382836814	2.28593967981179	1.33665982345442	3.06187827095478	1.83588073181739	4.29759332477498	1.77561044800636	4.30723088759774	3.69722149399334	2.53586352071245
AT3G06145	3.76890510656013	4.18666595575202	2.98638203762434	0	3.70873864323749	3.97893428355464	3.7623288871918	2.47202469770028	4.15078743786546	2.8931623216841	3.62791656961342	3.42593833059448	3.47739043386153	3.67098575021392	4.03603252867917	3.11946374646168	3.64060167120034	3.99757247073105	3.33975544040261	4.28661138688725	3.29419939480494	4.22422970155845	2.39429404535284	3.04331118154694	2.80443249925045	3.94613035514412	2.96789415062521	2.19226071864204	3.38422434335965	3.82196461969283	4.23637374049992	3.34045997918897	3.18271701243364	3.27660424778365	3.73034291558414	3.5542940773904	3.12306070113709	2.21058602490516	3.40033590479056	4.04231162693387	3.70844979547947	2.89363972091979	3.56233569686847	4.0775303264846	4.18378812463402	3.58281533703583	4.30317358588086	3.24271034295538	2.68276763035035
AT5G15950	2.08037391670131	3.24004227559544	1.11826472608948	3.70873864323749	0	1.85907822474697	1.11925588927794	2.34562854645631	3.53949638279631	2.03374533601397	1.7048366062114	3.95969472860358	2.47190750293956	3.61806693317269	2.1634893581927	1.70320537069549	1.45969397647797	4.29015040778552	1.05384642685225	2.74493416988533	3.61231117192276	3.73459103012238	3.29534494825468	3.81836975458215	2.75430245711014	3.53406673989616	1.87500335360004	2.67905522475807	3.67044810553833	4.14863257321072	2.55976303287679	3.49566780947823	2.64648214703981	1.69390274106606	3.737588576916	4.15829462828045	1.27160930137883	3.12814068312999	2.98425269842116	4.08218843345935	1.84522210642901	1.60075514963962	2.43892189391134	1.74616696437729	4.33094049249075	2.79572016756057	4.24290227941976	3.88030986152441	3.19508008233812
AT3G47420	3.32572290947646	3.19058379597718	2.44631965471813	3.97893428355464	1.85907822474697	0	1.81782969974561	2.69361264586156	3.52226682775872	2.03889821211453	2.30087796598857	3.84476909250354	2.85643886122286	4.12189290533051	2.14587979647062	2.20436420462101	2.31557153461445	4.13877873977276	1.90676588954073	0.800717078282385	3.75942910594101	0.746634198937579	3.78335751080885	3.57547073720831	2.33497619865434	3.70227454156535	2.74235586331777	3.09386975791996	3.71693190747465	4.27075357959388	2.93943438218627	3.75248252529876	3.22059182142632	2.27332542427512	4.10270839752772	4.26439158046244	1.62510657540347	3.87176143914336	2.7010755631445	3.98112698962777	2.10598679552147	2.81539841541643	0.385606273598312	2.31380396899415	4.30691994838088	2.6662839226231	2.21940113035756	4.23554814121076	3.30772275318522
AT5G14760	3.22559613154181	2.34044411484012	2.19556758065973	3.7623288871918	1.11925588927794	1.81782969974561	0	2.95349391302172	4.05233412476081	2.81438079446994	0.81424759573192	4.25088649625401	3.28884814773484	4.14149241682995	3.07156537220098	1.36153897126928	2.26420371203923	4.1978115891875	1.80078579032776	3.24185515823422	3.89070933485671	3.68245014910487	4.02829953033426	4.1588414597771	3.64190521632516	4.22905771955507	2.01865889758552	3.36229393796423	4.16401302128503	4.21107780415096	2.92814995559152	3.87063854819759	3.22851071502784	2.76003023493268	3.45377991486423	4.2511364848374	2.25244037654914	3.35265708736097	2.4428715548212	3.73200030386712	1.7906369619317	2.46357946745697	2.68475562210862	3.00543363412502	4.33102642682318	3.08430453548236	4.08074983212262	4.28356127513189	3.48226457308622
AT3G04140	3.12877071596667	3.94400517933871	1.84441504047382	2.47202469770028	2.34562854645631	2.69361264586156	2.95349391302172	0	3.77702641991506	1.3151303171836	2.68358731757277	3.12655996815386	2.82018831875789	3.18644493369579	3.20556702707487	2.86479577099445	2.40112471067897	4.21373843407942	2.00667992774083	3.73721093677562	2.20838760379515	3.68326863406578	2.14640713528705	3.35218830866585	1.86415495600203	3.50277932925323	2.53485073615341	1.69381485388942	3.06424453345574	4.00953417716576	3.40651633616079	2.65833580321008	2.74928787986045	2.12326347590283	3.58484777272776	3.58655354990288	1.75227898546012	2.56228096581452	3.05860441299552	4.17448603902712	2.86970683614081	2.04091865074852	2.76743046123356	2.60740140330202	4.23162554143114	2.99929587244188	4.26696533079841	2.27857070161052	2.24998060590953
AT3G47640	4.08674767464341	3.54357639297835	3.76410810503546	4.15078743786546	3.53949638279631	3.52226682775872	4.05233412476081	3.77702641991506	0	3.43447948125879	3.73408661742243	4.28127136815896	4.18921707421919	3.90753281724608	3.24991954345679	3.21012313702164	2.52907086030361	4.19522195648105	3.88844852707491	3.21645885323154	4.26630015266722	3.27961904128003	3.57803490267556	0.750508394851346	3.04927618321513	2.9269954554353	3.75703979162336	4.0584719570212	4.03119550675316	4.2342051170967	2.93473573339504	3.64604182680199	1.50351831272407	3.57832512098808	4.24137387400933	3.9823761748594	3.35271492619892	2.62925665158154	3.64118547649695	4.25009245005614	3.216424553876	3.46036403891341	3.48866209593152	3.72879677990769	4.07873188077156	3.54489613640474	3.57949435162346	3.67812214362306	3.91410928397498
AT2G15020	3.05508003379995	4.02818273511293	1.53160663193272	2.8931623216841	2.03374533601397	2.03889821211453	2.81438079446994	1.3151303171836	3.43447948125879	0	2.20612396399185	3.31972841437083	3.37350231570299	3.69482623804645	2.62589866144102	2.5501304728469	1.5736836930938	3.90799468643352	1.28352736486169	3.84535853856165	3.36656116229412	3.58116656314089	2.46938013584993	2.70734871461218	2.32209519286655	3.63833148455713	2.27348740969718	1.31680875205302	3.08769980251797	4.23719073044752	3.4049362937527	3.17111772250802	2.21465843887992	1.00560944536028	3.97227320875566	3.93050075869637	1.38435341413751	2.93552741823333	2.57600714897198	4.08234654715695	1.27829620809127	1.02938377768521	2.56829561542654	2.14238946611884	4.28771799704632	2.5370379216961	4.26462706919891	3.65960533545714	2.780828369673
