Gene	Length	logFC	logCPM	F	PValue	FDR
AT3G15536	495	4.48577375738163	2.28166546931095	629.130035493164	1.92454028665072e-16	1.84556160294611e-12
AT1G21240	2422	5.09294407113033	4.03586479437927	640.410969392285	2.27748701542064e-16	1.84556160294611e-12
AT2G38860	2127	3.09708502188644	5.62159275758855	508.462649938759	1.96414720032171e-15	6.61776356360218e-12
AT4G36670	1911	2.80617662380872	5.94484244999078	489.526993264507	2.43212719048917e-15	6.61776356360218e-12
AT1G09932	1443	3.82312134956027	3.36001542119248	477.87165839926	2.65374169813717e-15	6.61776356360218e-12
AT1G78290	1868	2.93497130761292	4.62413021496995	470.127773917063	3.13531761760858e-15	6.61776356360218e-12
AT4G00700	3611	5.16469189392155	4.40526263739088	517.729978413728	3.25998431932762e-15	6.61776356360218e-12
AT2G31865	2013	3.23571796232474	4.70787696057704	477.461348290897	3.26661988701286e-15	6.61776356360218e-12
AT4G39830	2186	4.34472705589997	3.48634953215219	454.969375479066	4.7132082392214e-15	8.48744065922902e-12
AT1G76970	2476	2.0837494725308	4.20316736685378	428.975030519545	7.38056385979442e-15	1.19616798475688e-11
AT3G25020	3121	2.24671378214	4.43766590464665	410.934976882808	1.10753015367884e-14	1.63179465460664e-11
AT3G13950	1206	4.67509097225378	2.5039700805954	403.705689701916	1.30941614861642e-14	1.76847562671886e-11
AT5G44670	2106	-1.34701449596897	4.98697483408041	391.494546655054	1.748992514213e-14	2.18045551368078e-11
AT1G65510	605	4.40234695438049	2.27246962516889	384.806759858936	2.0569902540777e-14	2.38126007484552e-11
AT3G25010	2880	3.15316234875755	4.30335566957072	387.964425845853	2.27907203639404e-14	2.46246136625588e-11
AT2G32680	2846	3.43717745594266	4.78457505536138	398.775197815631	2.76747131295138e-14	2.68795247187342e-11
AT2G22300	4103	1.08456074631785	6.22241081614049	372.116816294798	2.81947257492739e-14	2.68795247187342e-11
AT2G37110	1173	1.25250642675652	6.24553850316024	364.034628784756	3.46512646572355e-14	3.05568739050466e-11
AT1G66880	5006	2.46623284964649	6.53573744841897	369.601417274367	3.58228299004063e-14	3.05568739050466e-11
AT5G46050	2186	4.43259776177879	4.14464801431919	378.586475026692	5.51352556919035e-14	4.4678854449934e-11
AT1G60140	4361	1.75947099160551	5.44806846108797	337.136649546213	7.11198906189538e-14	5.48876222505421e-11
AT3G50770	926	5.00557718170618	3.79668525257557	359.80302751983	9.01998047962677e-14	6.41460704492054e-11
AT1G33560	2929	2.36907404290674	3.61189555295677	328.345210133118	9.10322465805963e-14	6.41460704492054e-11
AT4G23150	2236	3.44211495098349	3.37930656308542	326.861681586856	9.71781380984224e-14	6.56235868400472e-11
AT3G52430	2255	1.96827912908825	5.77795378008233	321.358146435381	1.11263165892836e-13	6.99232944126414e-11
AT1G66465	1302	4.43866077163533	2.72464226201898	321.418789278332	1.12174100988997e-13	6.99232944126414e-11
AT3G28510	1960	4.97096794705576	5.05771445724807	374.190870415359	1.25378377467305e-13	7.41037499629207e-11
AT2G35980	1048	5.50461003308895	2.11775905515073	316.556158421616	1.28025235945072e-13	7.41037499629207e-11
AT2G18690	1974	4.12881580287594	5.45700709100569	363.274656393739	1.34311695481392e-13	7.50617120229971e-11
AT3G26230	1852	2.30398671967409	4.75810997297368	310.484355459711	1.61971700041963e-13	8.41784833243762e-11
AT3G16950	2329	-1.06365810187158	6.71068271337108	308.348167827802	1.63499566110546e-13	8.41784833243762e-11
AT1G11310	2709	1.17015512878556	6.34211968070422	306.836375240074	1.71147816839409e-13	8.41784833243762e-11
AT5G10760	1968	3.77692604584556	7.13388912141417	349.297642908308	1.7140062625436e-13	8.41784833243762e-11
AT2G14610	902	7.97577830543411	4.32227510197368	364.922540672905	1.8957888696145e-13	9.036779473483e-11
AT5G02290	1885	1.34721751563257	5.92762364026689	300.998236151156	2.04606978761665e-13	9.2375275786369e-11
AT3G07520	2816	1.65869141468738	3.91450033440496	300.906100414435	2.05189728408051e-13	9.2375275786369e-11
AT3G03640	1765	1.65875916148911	3.98070645145111	296.323235193138	2.36617710705159e-13	1.0256513433993e-10
AT5G60800	1380	2.99205891724035	3.5674127542011	296.110981475567	2.40480971488698e-13	1.0256513433993e-10
AT4G36220	1992	1.29758243769657	7.68442938435141	289.285823760943	2.95707627457753e-13	1.22885474825841e-10
AT1G66960	3162	4.48018270398491	2.67282561483314	286.55693208676	3.52750716870933e-13	1.4292577170818e-10
AT1G51800	3036	4.53251820735349	4.00760600814295	308.859094953195	4.20481631932839e-13	1.64076825343369e-10
AT4G23140	2598	3.0053854147747	4.59862099006403	294.91316905202	4.25200633332602e-13	1.64076825343369e-10
AT5G47120	1303	1.36827086944971	6.09927925441021	275.627758222175	4.62637063319212e-13	1.7325045495392e-10
AT3G50480	1109	2.52207299557393	7.77441472555554	287.507548951222	4.70353552043715e-13	1.7325045495392e-10
AT3G48090	2551	2.11848759223597	5.78870316462748	278.236062611659	4.94871841251067e-13	1.78230842914579e-10
AT3G25510	4489	3.08366033785919	2.49936946278551	270.911398645876	5.42580245338312e-13	1.91165174699957e-10
AT3G13380	4517	1.8802243240834	4.17250061374678	263.807721276361	6.93240808609944e-13	2.39050080534923e-10
AT1G71695	1480	-0.908620334759803	6.66995423144391	262.915518215411	7.15218873740993e-13	2.41490672640006e-10
AT1G51850	2955	4.36159231523612	2.42042338910379	258.84146177909	8.33242015902054e-13	2.75599047994379e-10
AT5G67385	3258	-1.05413971854847	6.52406583241541	254.657289420297	9.59357511384169e-13	3.10966143740064e-10
AT1G67520	3210	2.45509431167293	2.45193051708299	251.763596761824	1.06557658129826e-12	3.3862352260982e-10
AT1G61250	1548	1.13523346163705	6.73693763824994	249.431622731923	1.16062708919035e-12	3.60827798753626e-10
AT4G39800	2095	-1.58965696196332	8.95258085362151	248.98270545212	1.17997614203382e-12	3.60827798753626e-10
AT1G16670	1929	1.19401313903974	4.01370939202428	247.945323753804	1.22606227822427e-12	3.64356590255646e-10
AT5G61210	1743	1.35552181251856	6.65003918980079	247.509388733325	1.24601746371028e-12	3.64356590255646e-10
AT5G08240	1521	3.58481185000003	3.25672471534974	253.864435909801	1.25896026743482e-12	3.64356590255646e-10
AT5G38250	2099	4.54094175713559	1.14835493135347	245.925578059028	1.32158531933351e-12	3.75770759130495e-10
AT1G51620	1483	4.14587187342214	1.91721314636678	245.345414286154	1.35051817261838e-12	3.77376690062519e-10
AT5G67340	2902	2.22149237412529	3.87768136054663	244.37069767271	1.40071090010287e-12	3.84768161999445e-10
AT1G32700	1641	1.60461985631638	5.54042434151572	241.58870391659	1.55563053495449e-12	4.20201734666791e-10
AT1G13340	1590	3.31613591299372	4.38135429459689	261.221815261263	1.59058096408665e-12	4.22599109589383e-10
AT1G74590	1153	2.06626680718504	2.27555365577405	240.404018148262	1.62725230984081e-12	4.25369002993387e-10
AT4G28390	1655	1.24886252796249	5.26036351084479	236.393074907162	1.89805702913044e-12	4.8145132727797e-10
AT5G52920	2221	-1.09341473265786	8.56063218928922	236.350189866976	1.90120842511199e-12	4.8145132727797e-10
AT5G11920	2300	6.49808820368328	2.14737601225486	241.217776713808	2.13182003620352e-12	5.28681670754745e-10
AT2G01540	1215	1.45585323412468	4.27518973916746	233.156017505804	2.15295799776721e-12	5.28681670754745e-10
AT2G34590	1674	-0.988756678736706	8.13027633897837	230.882665212297	2.35446035553976e-12	5.60435130815913e-10
AT3G45040	2186	1.30518108995078	4.82935431925703	229.858312996389	2.45197072671491e-12	5.60435130815913e-10
AT5G17760	2126	2.35923943805506	3.81864247320387	229.180128786505	2.51897231595139e-12	5.60435130815913e-10
AT3G44400	4828	1.56696047553919	3.99295163150607	229.050230131606	2.53203444134087e-12	5.60435130815913e-10
AT1G65486	1033	4.04764825578216	3.57104692835713	247.072049320641	2.54026612999863e-12	5.60435130815913e-10
AT3G49670	3609	-1.84443590060897	6.88873211347278	230.811558648919	2.54286932051376e-12	5.60435130815913e-10
AT4G10030	1736	-1.14106299718002	5.71233519945364	228.86631788513	2.55065572597982e-12	5.60435130815913e-10
AT5G51465	612	5.87270555208276	2.62686992850557	242.277317122534	2.61624573640247e-12	5.60435130815913e-10
AT1G59870	4930	1.53028053163097	9.68224863878002	228.194062450361	2.62001654175731e-12	5.60435130815913e-10
AT4G04490	2268	3.98169135983565	4.27480746157147	255.853929029991	2.628066264084e-12	5.60435130815913e-10
AT1G15410	2306	-1.16615330137287	4.24004375467225	226.539253760973	2.799771067495e-12	5.89297268712876e-10
AT2G17290	2645	1.28457271236116	5.25554563566335	226.180076190211	2.8405555006952e-12	5.90216448714962e-10
AT2G19190	2700	5.71145907202634	3.84246252964679	259.807529667649	2.95280716004866e-12	6.05773995479857e-10
AT2G29110	3001	4.58361956706363	2.53820264063721	230.079617730004	3.02636263672352e-12	6.11844500043525e-10
AT1G76040	2528	2.3318535421926	3.80628463545615	224.357100803733	3.05790118489082e-12	6.11844500043525e-10
AT3G06145	976	-3.00146231384642	1.20851362728034	223.478253484112	3.16917420147077e-12	6.26375686380936e-10
AT1G08450	1642	1.91753174339025	7.31045031135907	226.280154295234	3.21036732549441e-12	6.26872569208289e-10
AT2G22170	1194	-2.14380333456353	4.5103986494323	223.482342074836	3.36272538082106e-12	6.44544228665502e-10
AT5G61330	2551	-1.10250948481366	6.08533437964859	221.899718745475	3.38040719667845e-12	6.44544228665502e-10
AT4G23230	1884	2.36586928467551	3.58494179160185	220.446440738291	3.58865198067004e-12	6.7629398431069e-10
