	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
1	GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	257	12	1.75618422850895	6.83299610894942	2.12044458880456e-07	0.000521629368845922	817184;818289;818961;819130;823908;826642;828131;829907;829908;836531;836533;837724	AT2G26440;AT4G01700;AT1G02360;AT4G10500;AT5G64120;AT4G37530;AT3G47540;AT4G37520;AT2G43590;AT2G37130;AT5G64100;AT2G45220
2	GO:0006979	response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0006979	454	14	3.1023643569769	4.5126872246696	2.97302690788204e-06	0.00365682309669491	818289;819032;822488;826718;829907;829908;832109;832845;836531;836533;837894;838752;841650;844177	AT1G13340;AT5G27830;AT1G52200;AT4G11170;AT1G78410;AT2G44240;AT5G64120;AT4G37530;AT1G21520;AT4G37520;AT5G19875;AT3G28580;AT2G37130;AT5G64100
3	GO:0031347	regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031347	263	10	1.79718463851305	5.56425855513308	1.3816206989814e-05	0.00458228255099483	819907;827084;827913;827916;830142;835358;838336;2746202;7922469;10723040	AT1G17600;AT4G39830;AT4G03450;AT4G14390;AT5G52810;AT2G15042;AT5G48657;AT3G07195;AT4G22305;AT4G03460
4	GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	385	12	2.63085964192975	4.56124675324675	1.40230895346871e-05	0.00458228255099483	819907;830943;833523;835358;835639;838043;838336;842430;842436;2746202;7922469;10723040	AT1G17600;AT5G10760;AT1G61360;AT5G52810;AT2G15042;AT5G55460;AT1G14780;AT5G48657;AT1G61420;AT3G07195;AT4G22305;AT5G35580
5	GO:0006026	aminoglycan catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006026	23	4	0.15716823834905	25.4504347826087	1.67644483572982e-05	0.00458228255099483	818961;823908;828131;837724	AT4G01700;AT1G02360;AT3G47540;AT2G43590
6	GO:0006030	chitin metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006030	23	4	0.15716823834905	25.4504347826087	1.67644483572982e-05	0.00458228255099483	818961;823908;828131;837724	AT4G01700;AT1G02360;AT3G47540;AT2G43590
7	GO:0006032	chitin catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006032	23	4	0.15716823834905	25.4504347826087	1.67644483572982e-05	0.00458228255099483	818961;823908;828131;837724	AT4G01700;AT1G02360;AT3G47540;AT2G43590
8	GO:0046348	amino sugar catabolic process	http://amigo.geneontology.org/amigo/term/GO:0046348	23	4	0.15716823834905	25.4504347826087	1.67644483572982e-05	0.00458228255099483	818961;823908;828131;837724	AT4G01700;AT1G02360;AT3G47540;AT2G43590
9	GO:1901072	glucosamine-containing compound catabolic process	http://amigo.geneontology.org/amigo/term/GO:1901072	23	4	0.15716823834905	25.4504347826087	1.67644483572982e-05	0.00458228255099483	818961;823908;828131;837724	AT4G01700;AT1G02360;AT3G47540;AT2G43590
10	GO:0016998	cell wall macromolecule catabolic process	http://amigo.geneontology.org/amigo/term/GO:0016998	24	4	0.1640016400164	24.39	2.00106571204284e-05	0.00492262165162538	818961;823908;828131;837724	AT4G01700;AT1G02360;AT3G47540;AT2G43590
11	GO:0009966	regulation of signal transduction	http://amigo.geneontology.org/amigo/term/GO:0009966	406	12	2.7743610769441	4.32532019704434	2.36824110342315e-05	0.00500102420517262	814683;818403;827084;827913;827916;828718;829691;829946;833752;838136;838922;843418	AT1G70810;AT4G03450;AT2G01540;AT4G37900;AT5G37740;AT4G14390;AT4G26120;AT1G15670;AT1G23140;AT4G35380;AT4G03460;AT2G38240
12	GO:0050776	regulation of immune response	http://amigo.geneontology.org/amigo/term/GO:0050776	125	7	0.854175208418751	8.19504	2.45895835713217e-05	0.00500102420517262	819907;833523;835358;838336;2746202;7922469;10723040	AT1G17600;AT5G52810;AT2G15042;AT5G48657;AT3G07195;AT4G22305;AT5G35580
13	GO:0023051	regulation of signaling	http://amigo.geneontology.org/amigo/term/GO:0023051	413	12	2.82219488861555	4.25200968523002	2.79914749141685e-05	0.00500102420517262	814683;818403;827084;827913;827916;828718;829691;829946;833752;838136;838922;843418	AT1G70810;AT4G03450;AT2G01540;AT4G37900;AT5G37740;AT4G14390;AT4G26120;AT1G15670;AT1G23140;AT4G35380;AT4G03460;AT2G38240
