Gene	Length	logFC	logCPM	F	PValue	FDR
AT1G09932	1443	3.32429434612584	3.36001542119248	267.491861953843	6.1004554366303e-13	5.27340690216067e-09
AT5G25440	1554	2.33358392873389	5.3659273554087	267.426015338253	8.2519533466864e-13	5.27340690216067e-09
AT5G10760	1968	3.49838595857668	7.13388912141417	286.585273151498	9.76135046984761e-13	5.27340690216067e-09
AT4G36670	1911	1.96815164458232	5.94484244999078	248.692210457288	1.32462942163332e-12	5.36706725910281e-09
AT3G44400	4828	1.62359738430296	3.99295163150607	230.033947298395	2.43494050106637e-12	7.89261614015654e-09
AT1G24150	2794	2.14451402371874	4.30761715978048	220.214709343755	3.66013622499787e-12	9.88663796642341e-09
AT1G71697	1897	1.61176689882401	4.61601726124795	212.295823542347	5.05275758750519e-12	1.16985774600995e-08
AT2G37110	1173	0.929645429652112	6.24553850316024	201.507210955659	8.10019251954709e-12	1.31012271656813e-08
AT2G31865	2013	2.12938616629348	4.70787696057704	204.117401249231	8.25190764626112e-12	1.31012271656813e-08
AT5G25250	1713	2.65584764318556	5.62315255184272	214.161850734872	9.54610456098318e-12	1.31012271656813e-08
AT1G72930	1127	1.96918484216435	7.20193354218691	203.152583585947	9.84715094183687e-12	1.31012271656813e-08
AT2G30250	1776	1.84347050908104	5.51340787243814	195.482341258956	1.25968744782796e-11	1.31012271656813e-08
AT3G01290	1663	2.71352919254685	7.15377666613823	209.97308430122	1.28814866090829e-11	1.31012271656813e-08
AT1G79380	1820	1.01524456751903	6.37316303917235	191.256905940534	1.29646487960178e-11	1.31012271656813e-08
AT1G13210	4194	1.56711784736053	6.45993699697345	190.784190943015	1.32988585993853e-11	1.31012271656813e-08
AT1G10340	2042	3.36748368187492	5.54440479225193	215.649087187059	1.34749219961209e-11	1.31012271656813e-08
AT4G23140	2598	2.54421159664415	4.59862099006403	199.666498060672	1.37422633316827e-11	1.31012271656813e-08
AT1G65510	605	3.58465653303564	2.27246962516889	187.037286108864	1.58402585373712e-11	1.42623927841764e-08
AT2G32680	2846	2.54024613521304	4.78457505536138	195.250440944207	1.68782300638825e-11	1.43971302444918e-08
AT1G78830	1956	1.74957877934044	7.7493819398782	182.214725633829	2.22570809672411e-11	1.80360255618038e-08
AT5G24210	1865	2.5314914045957	6.52422085690472	190.198118324491	2.99340619150638e-11	2.31019686408304e-08
AT1G73750	1878	1.05807666557138	4.63268110998409	167.119919333156	4.32621079804404e-11	3.18704083654089e-08
AT3G15536	495	2.73009655421166	2.28166546931095	165.099853535354	4.81892567817126e-11	3.39566645504877e-08
AT2G14080	4056	0.812066564820071	6.4532345038871	160.581564775921	6.16048662261497e-11	4.16012527886337e-08
AT1G21240	2422	3.73719687722548	4.03586479437927	161.851114795719	6.87834127603576e-11	4.45909108242846e-08
AT3G56710	1431	1.94647843227669	5.13104355004861	157.16176627689	1.04352466016619e-10	6.07257529209976e-08
AT3G11820	1659	1.34401079845454	5.9653395293595	151.15996140633	1.04945147378286e-10	6.07257529209976e-08
AT2G44380	1196	4.39881068795425	3.29114912501972	160.667042988218	1.05542733963873e-10	6.07257529209976e-08
AT1G07000	2276	1.664280620805	5.96197779219637	154.023553496376	1.12354636357518e-10	6.07257529209976e-08
AT1G70530	2871	1.6180835289138	5.53428087268134	152.531692029238	1.12406527280183e-10	6.07257529209976e-08
AT1G62310	5501	-0.899264692988889	5.10429910354011	147.085552709412	1.33356439854658e-10	6.84490666334852e-08
AT1G73805	2397	2.55254090364749	5.16559215496875	159.69702246736	1.35149634865893e-10	6.84490666334852e-08
AT1G08450	1642	1.5412599804249	7.31045031135907	147.38741200733	1.44695775001365e-10	7.10631644074884e-08
AT1G33560	2929	1.60596664676073	3.61189555295677	141.897124043229	1.82508292740475e-10	8.66342302695562e-08
AT2G25620	1926	-1.15172048805583	3.18110921726068	141.493964574679	1.87091877548866e-10	8.66342302695562e-08
AT4G30720	2570	-0.725023383122862	5.05411775774787	141.0186357392	1.92659537836902e-10	8.67342536034075e-08
AT1G23490	1227	1.11408130390019	7.44334397798066	140.471966493824	1.99289541218892e-10	8.72942052576912e-08
AT5G20230	1192	3.08699691023581	8.27628329157861	157.575334982963	2.08415279354388e-10	8.88891166446464e-08
AT5G64240	1627	1.13254512070968	4.76616229498578	139.243674528329	2.1512207153296e-10	8.93970105983252e-08
AT2G39360	3207	0.952915837636231	4.83252708761697	137.881044875269	2.34325850428724e-10	9.39784368326494e-08
AT5G54710	2142	1.9024699548433	5.01213648595834	143.000257135445	2.3774393226005e-10	9.39784368326494e-08
AT5G02290	1885	0.906662549431022	5.92762364026689	137.215962402067	2.44378528351438e-10	9.426993308045e-08
AT1G60140	4361	1.10264025216687	5.44806846108797	136.849833406638	2.50114587675656e-10	9.426993308045e-08
AT3G10650	4832	-0.524958463446685	6.56350934514117	135.854154246998	2.66477718543143e-10	9.81546451006528e-08
AT2G24550	1378	1.72820590544429	6.00426701689408	140.97907618905	2.76666112118547e-10	9.96428373134509e-08
AT4G23150	2236	2.51447626157939	3.37930656308542	135.132756866012	2.83120681466631e-10	9.97508018376018e-08
AT2G45070	869	0.605119471136068	6.06350624539448	133.427008351776	3.11530733939156e-10	1.06961891012976e-07
AT5G67520	1459	1.90159551777011	2.70607277182155	133.169293522267	3.16787238145422e-10	1.06961891012976e-07
AT5G44070	2087	1.49060978301157	6.11676960047123	134.463466611259	3.42187764131973e-10	1.12899419787886e-07
AT1G77280	2980	-1.23664861086575	3.6679857780079	131.465417131474	3.54098925675462e-10	1.12899419787886e-07
AT3G50950	2904	1.45142815126442	7.9042842987267	132.302263998689	3.55270587350044e-10	1.12899419787886e-07
AT1G50740	819	1.4681107139233	3.6851769582885	130.270963582736	3.83135478938971e-10	1.19413013599306e-07
AT1G35350	3058	1.96818179156451	5.16121115525979	136.46767297004	4.19388643223853e-10	1.26815205107486e-07
AT2G41110	921	1.6585251106929	3.7708666223062	128.800709665045	4.2253477360426e-10	1.26815205107486e-07
AT1G66880	5006	1.42514483532347	6.53573744841897	129.508125812318	4.46032891930266e-10	1.31433728718433e-07
AT2G18690	1974	2.69979065869805	5.45700709100569	139.542566183732	4.78036351814981e-10	1.38348842033311e-07
AT3G25610	4053	1.8214004669046	4.82961740366929	130.791039282129	5.14623996530851e-10	1.46324756346939e-07
AT5G59080	3570	1.127172697083	5.84540887056287	124.206740219026	5.77399167175276e-10	1.59670824318936e-07
AT5G08760	471	2.47237571238831	6.14774055420017	138.055751950571	5.81266035343818e-10	1.59670824318936e-07
AT1G01240	2123	1.1822945586819	5.44692980383586	123.7453147478	5.96125632360592e-10	1.61023468727802e-07
AT2G02570	1502	-0.834260678430035	6.07137852427228	123.205373451613	6.18892623864154e-10	1.64432668114202e-07
AT4G27740	654	1.19709343886483	4.14737815106288	122.049097035936	6.70938782325333e-10	1.75385562018495e-07
AT4G28400	1562	1.37736064657301	5.52102758872909	122.570904963987	6.98898283738563e-10	1.79794356897633e-07
AT1G20920	4902	-0.793414107596613	7.0836402536841	121.148096275013	7.14840185702416e-10	1.80777538366773e-07
AT1G30730	1946	3.87483591582873	3.15913231188663	127.801474398616	7.2502869092616e-10	1.80777538366773e-07
AT3G21560	1928	-1.27095366819898	4.09808300935935	120.669000046772	7.39465624943456e-10	1.815836270221e-07
AT5G57800	2589	1.34362362677081	7.52119288805315	120.950216668312	7.63698442632749e-10	1.84735233727596e-07
AT3G24760	1788	-1.10831633797966	3.30323407665412	120.000416035504	7.75406484072019e-10	1.84809013049341e-07
AT1G71695	1480	-0.604828295036335	6.66995423144391	119.284628675568	8.16030898981713e-10	1.9167264898256e-07
AT5G65207	518	1.66783356093438	3.3326869257092	118.943788338528	8.36194556019431e-10	1.93602930991527e-07
AT3G25010	2880	1.79572330088823	4.30335566957072	120.001071186135	8.53924848988721e-10	1.94923380669862e-07
AT1G66960	3162	3.34301371764796	2.67282561483314	117.190915916066	1.00132758187837e-09	2.25396057215315e-07
AT3G57300	5305	-0.783791205629135	7.8784837894231	116.209560538552	1.01931859108252e-09	2.2630269048869e-07
AT3G51950	3157	-0.61219399496816	7.94852273385699	115.43914503778	1.07859375884973e-09	2.36226608779427e-07
AT3G25510	4489	2.14452042109712	2.49936946278551	114.932414460836	1.11964686639201e-09	2.41646740711242e-07
AT5G43470	3953	0.639029040746454	7.87260189871628	114.770061081065	1.133161738388e-09	2.41646740711242e-07
AT2G39340	3740	-0.721477844834148	6.40635590167228	114.58056111411	1.14916410972611e-09	2.41876658783521e-07
AT4G39640	2486	1.14984278713679	6.62862922620561	114.058492520973	1.19455251560467e-09	2.44924187352261e-07
AT2G36310	1849	0.96801528010831	4.05450012684908	113.941615393807	1.20498206074414e-09	2.44924187352261e-07
AT3G09600	2345	-0.766357817877332	6.63447090076751	113.897110863091	1.20897976110205e-09	2.44924187352261e-07
AT5G46050	2186	2.6431404035671	4.14464801431919	119.964218537675	1.22424753970464e-09	2.44955307111025e-07
AT1G63860	3942	2.53683651566925	5.08706650330749	125.764976121728	1.24565003811367e-09	2.4619817277693e-07
