Gene	Length	logFC	logCPM	F	PValue	FDR
AT2G38860	2127	3.20468618141902	5.62159275758855	533.607336803793	1.24697659903723e-15	1.52262481518353e-11
AT1G21240	2422	4.32249590114797	4.03586479437927	506.164308141974	2.09419838987721e-15	1.52262481518353e-11
AT1G78290	1868	2.98079577081326	4.62413021496995	475.436846489705	2.81845773156698e-15	1.52262481518353e-11
AT3G25020	3121	2.13288541950613	4.43766590464665	370.049274081427	2.9709742579838e-14	1.15969961321451e-10
AT3G15536	495	3.08905503416968	2.28166546931095	362.795748197005	3.57777384221172e-14	1.15969961321451e-10
AT3G13950	1206	3.99873839569274	2.5039700805954	320.499849188228	1.14072518988912e-13	3.08128885875549e-10
AT2G14610	902	8.47353815257416	4.32227510197368	360.26924043337	2.11818920804449e-13	4.73161738562657e-10
AT3G28510	1960	4.78124238442826	5.05771445724807	348.437422074585	2.33559197167968e-13	4.73161738562657e-10
AT4G00700	3611	3.67077223225877	4.40526263739088	318.466467454692	2.66565199117166e-13	4.800246868991e-10
AT5G60800	1380	2.94597199136716	3.5674127542011	283.267916384152	3.62645751321376e-13	5.87739969166554e-10
AT3G52430	2255	1.79312685763556	5.77795378008233	269.029272574088	5.78633747718365e-13	8.52537922661048e-10
AT3G16950	2329	-0.988510724936322	6.71068271337108	266.457197718882	6.32241015402885e-13	8.5389417805288e-10
AT5G17760	2126	2.45318070348618	3.81864247320387	240.644439273119	1.61242863214962e-12	1.90214250694175e-09
AT1G74590	1153	2.0828106963197	2.27555365577405	238.56994953609	1.74540319866894e-12	1.90214250694175e-09
AT2G35980	1048	4.38550052375305	2.11775905515073	238.34575647733	1.7604823597289e-12	1.90214250694175e-09
AT4G36220	1992	1.14259447295607	7.68442938435141	225.754447325353	2.88973471718666e-12	2.79148306463323e-09
AT2G18690	1974	3.30411924201459	5.45700709100569	253.967417354698	3.05316600621488e-12	2.79148306463323e-09
AT1G15410	2306	-1.16367549067625	4.24004375467225	224.018073251221	3.10030821024237e-12	2.79148306463323e-09
AT1G09932	1443	2.38321253118678	3.36001542119248	221.855948830536	3.38648112529492e-12	2.88866839987657e-09
AT4G39830	2186	2.66770587098707	3.48634953215219	213.754303351679	5.12612489207392e-12	4.04519137769704e-09
