Gene	Length	logFC	logCPM	F	PValue	FDR
AT5G25250	1713	2.54518633621887	5.62315255184272	198.379364749422	1.85461606164019e-11	2.02468675322916e-07
AT5G42250	1651	1.22083803744825	4.80366338057725	177.751193335381	2.4985336622807e-11	2.02468675322916e-07
AT1G72930	1127	1.64663743127566	7.20193354218691	144.629298973117	1.92834930457698e-10	8.07263328860612e-07
AT2G39580	5352	-0.614707527208458	6.33108263370623	138.884207979483	2.20013917431536e-10	8.07263328860612e-07
AT3G26320	1596	2.40900980264238	1.90236936260412	136.674102333	2.52920263203983e-10	8.07263328860612e-07
AT2G45070	869	0.595778270716368	6.06350624539448	129.747509696261	3.9667870854611e-10	8.07263328860612e-07
AT4G25110	1830	3.06566324770285	3.31192272285778	133.757508599665	4.17202798325631e-10	8.07263328860612e-07
AT1G21460	1308	-1.0798030070118	3.55079066687552	128.821150878998	4.21957323148018e-10	8.07263328860612e-07
AT5G44130	1225	1.01530245820896	6.30095783945779	127.919153999585	4.48285923350744e-10	8.07263328860612e-07
AT3G27060	1692	1.16996446677517	4.29917454250765	122.326978344852	6.58004782178603e-10	9.16922210026971e-07
AT3G25570	1785	-2.45813067022117	2.44295034446036	120.23153792443	7.62769048836096e-10	9.16922210026971e-07
AT3G56710	1431	1.71824205734269	5.13104355004861	123.700000757727	7.99968281832727e-10	9.16922210026971e-07
AT4G30720	2570	-0.66423227969827	5.05411775774787	119.514689673594	8.02723746193841e-10	9.16922210026971e-07
AT5G10760	1968	2.28144061441	7.13388912141417	129.708711493836	8.17419514132351e-10	9.16922210026971e-07
AT1G73750	1878	0.88880382276547	4.63268110998409	118.737978335023	8.48635352033354e-10	9.16922210026971e-07
AT5G26570	3898	-0.695775906477455	6.78858944690034	116.201835805557	1.01989481360638e-09	1.01790858873841e-06
AT3G01290	1663	2.04609083992188	7.15377666613823	124.244988716317	1.06771432150015e-09	1.01790858873841e-06
AT2G02570	1502	-0.801251489416531	6.07137852427228	114.182595030323	1.18358693206959e-09	1.06568852266955e-06
AT5G19250	928	0.807545804713362	6.80808221365104	110.930250580755	1.51153724150458e-09	1.2893412670034e-06
AT3G19100	2500	-1.38583671436645	4.80685358128119	111.079199011746	1.60687367485076e-09	1.30213008241531e-06
