Gene	Length	logFC	logCPM	F	PValue	FDR
AT1G60140	4361	1.21349533596238	5.44806846108797	163.209341730905	5.33651199583943e-11	4.96196442987807e-07
AT3G55580	1742	-1.42811290362043	3.44020838986847	160.691791166256	6.1232361694059e-11	4.96196442987807e-07
AT4G19520	6180	0.929426195097668	6.88491095391446	131.713173832138	3.48384740431002e-10	1.88209049605509e-06
AT4G36670	1911	1.35687923850559	5.94484244999078	123.097497683692	6.69038192762586e-10	2.21030941861096e-06
AT2G21320	1093	-1.47102647516698	5.17365314304525	123.336823055629	6.81899617020719e-10	2.21030941861096e-06
AT3G45040	2186	0.918485424433193	4.82935431925703	114.218033258511	1.18047602782425e-09	3.18866249715794e-06
AT2G25620	1926	-1.00303405817839	3.18110921726068	106.144330774522	2.19117625375359e-09	5.07319907779779e-06
AT2G22300	4103	0.553668338825086	6.22241081614049	97.9645582480886	4.27745673633974e-09	8.66559266573226e-06
AT5G43630	3495	-0.725450755291806	6.69728492357548	95.594491823655	5.23818135467557e-09	9.40022135356832e-06
AT2G31380	1268	-0.849176338919756	5.91448787215485	94.4208161058396	5.80009955794923e-09	9.40022135356832e-06
AT2G31865	2013	1.39906175776114	4.70787696057704	93.5698038520746	6.79094559121973e-09	1.00055322906271e-05
AT1G08980	1573	0.5679615206719	6.14072722336182	90.3405943500767	8.3358033201149e-09	1.09207549552696e-05
AT5G07920	3404	0.799219607690933	4.94173391866067	89.7821873492578	8.76924731015687e-09	1.09207549552696e-05
AT1G71697	1897	1.02623903270777	4.61601726124795	88.9827519791898	9.43361321489321e-09	1.09207549552696e-05
AT5G44670	2106	-0.618190403875772	4.98697483408041	87.026949862741	1.1305138574852e-08	1.22148253921751e-05
AT2G30250	1776	1.20389152230684	5.51340787243814	86.7353524745821	1.28435267350197e-08	1.3009689862154e-05
AT1G76040	2528	1.42687524232411	3.80628463545615	84.4732362955756	1.43921285840032e-08	1.37207781153494e-05
AT4G23140	2598	1.57330560978435	4.59862099006403	84.0770514520826	1.93481195744094e-08	1.74208318856918e-05
